round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,2,,0.534750577454217,0.9957732558250427,42.11193624343416,5.826540946960449,0.014302253723144531,0.10653900000079375,884.343457,0.9717400074005127,0.0,0.6927450895309448,0.0
2,fedavg,6,,1.028864634281601,0.9864104390144348,10.260822314798043,6.071552912394206,0.18990853938074312,0.132826999987401,1205.2929609999978,0.9592204372088114,0.014834445525676036,1.1287980278333027,0.14219378813891126
3,fedavg,6,,0.46790068817853725,0.9975497722625732,12.479623256656403,6.381949424743652,0.1345312326512621,0.12794799999937823,292.9368039999929,0.9844847997029622,0.005203818165205778,0.729676733414332,0.10825900098287457
4,fedavg,6,,0.3564770155763602,0.9986065626144409,10.19742800217352,6.609644174575806,0.08455399948527469,0.14336699999262237,271.0215109999865,0.9877943873405457,0.0043628612617120505,0.6612811783949534,0.11988385478716139
5,fedavg,6,,0.39903960521844967,0.9982588887214661,9.88951276942583,6.733297030131022,0.03079305342921016,0.13769600002433435,243.70382500001142,0.9916239420572917,0.0021943223061268316,0.5613533308108648,0.04875684508873959
6,fedavg,6,,0.313027656377519,0.9989581108093262,10.179315341423655,6.851737101872762,0.04422590511949757,0.13323700000000827,291.9775940000022,0.9922972838083903,0.002156677836879564,0.547250101963679,0.05979689789898239
7,fedavg,6,,0.23390741748351873,0.9994276762008667,12.29849664915776,6.926316976547241,0.02663959295051309,0.16417499998055973,287.799409999991,0.9941401680310568,0.001807049561798914,0.47768214841683704,0.08299889098221494
8,fedavg,6,,0.21100217592206247,0.9995437860488892,12.850932802028616,6.975289026896159,0.032535524926404165,0.13443000000279426,289.90733599999885,0.9944765051205953,0.0017163503116669663,0.46605957051118213,0.0894320574173116
9,fedavg,6,,0.23111869030076707,0.9994586706161499,11.474370585038942,7.0288645426432295,0.0357742855804566,0.13160500000708453,253.4062749999748,0.9946826299031576,0.002075450374627041,0.4585207055012385,0.10132292346168234
10,fedavg,6,,0.18181212565031432,0.9996697902679443,12.325665640282557,7.0516204833984375,0.04170038902156606,0.1369439999905353,277.52380399999765,0.9954647302627564,0.0021691453316283176,0.41760529826084775,0.12472837820421595
11,fedavg,6,,0.17870116323610394,0.9996840357780457,12.986777757652598,7.085912466049194,0.05006051310469728,0.13703499999451196,220.26943899999196,0.9949577291806538,0.002375262617697772,0.4432188818852107,0.13300149223812757
12,fedavg,6,,0.17228792234704565,0.9997097849845886,11.764173157036769,7.099886894226074,0.03974342203928234,0.1507300000014311,300.4933309999842,0.9958003838857015,0.0019996341052982295,0.4056120117505391,0.11757916643926881
13,fedavg,6,,0.3475281711593911,0.9988075494766235,12.95055243615287,7.133923292160034,0.03800630132409601,0.1539669999885973,266.4298150000093,0.9945592562357585,0.00178756579696091,0.47379685441652936,0.08910985668987112
14,fedavg,6,,0.24769310259545602,0.9993976950645447,14.001086759644993,7.152589162190755,0.02507238551840043,0.13431000002128712,263.4485330000018,0.9947879354159037,0.0020154575731369338,0.4620692531267802,0.09768542032199551
15,fedavg,6,,0.17112951145477298,0.999717652797699,13.68411519652237,7.187227805455525,0.03603084759185362,0.1566319999994903,250.39970500000663,0.9950145920117696,0.0025608980035975713,0.44262125839789707,0.1430097971331872
16,fedavg,6,,0.13613262985773303,0.9998223781585693,11.954356094910343,7.200512806574504,0.03224772551096667,0.13709600000311184,362.46343299998784,0.995846168200175,0.002145144672340023,0.4062381063898404,0.12591730160863687
17,fedavg,6,,0.16977602867013805,0.9997250437736511,11.175511682666183,7.218777974446614,0.03567419644099982,0.12940100000946586,224.69014899999706,0.9959687074025472,0.0017276730983708784,0.4073021560907364,0.10381687477987751
18,fedavg,6,,0.15168961584336974,0.9997807741165161,11.528708567288534,7.252022981643677,0.05116256059005362,0.13471100001538616,260.52011699999866,0.9952142437299093,0.002943021432291153,0.4282905583580335,0.172565527330415
19,fedavg,6,,0.17455680966544873,0.9997096657752991,9.23745698243072,7.258332967758179,0.027683572486741175,0.12644500000646985,343.1949639999914,0.9960258960723877,0.0021553594449034777,0.40289632727702457,0.1149110462242327
20,fedavg,6,,0.20639169178723632,0.9995954632759094,10.876652780293425,7.271328449249268,0.030066883252251316,0.13105399997925815,242.36583399999745,0.9965481003125508,0.0016803719228014793,0.3778112977743149,0.10261344211411842
