exp_dir,aggregator,alpha,adv_percent,mu,seed,attack_mode,round,macro_f1,macro_f1_val,n_test_total,config_key
dsedge-iiotset-full_comp_krum_alpha0.5_adv30_dp0_pers0_mu0.0_modetargeted_label_seed44_datasetedge-iiotset-full,krum,0.5,30,0.0,44,targeted,20,0.4670614435625266,,306571,krum_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha0.1_adv20_dp0_pers0_mu0.0_seed51_datasetedge-iiotset-full,median,0.1,20,0.0,51,none,20,0.4033314371636591,,306570,median_alpha0.1_adv20_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.1_adv10_dp0_pers0_mu0.0_seed42_datasetedge-iiotset-full,krum,0.1,10,0.0,42,none,20,0.4832330723417388,,306571,krum_alpha0.1_adv10_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.1_adv30_dp0_pers0_mu0.0_seed60_datasetedge-iiotset-full,fedavg,0.1,30,0.0,60,none,20,0.0040779109060044,,306571,fedavg_alpha0.1_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,median,0.02,0,0.0,59,none,20,0.2935534417911629,,306570,median_alpha0.02_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alpha1.0_adv10_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,krum,1.0,10,0.0,55,none,20,0.522183355914947,,306571,krum_alpha1.0_adv10_mu0.0
dsedge-iiotset-full_comp_fedprox_alpha0.1_adv20_dp0_pers0_mu0.05_modelabel_flip_seed43_datasetedge-iiotset-full,fedprox,0.1,20,0.05,43,label,20,0.5167147045981874,,306568,fedprox_alpha0.1_adv20_mu0.05
dsedge-iiotset-full_comp_fedavg_alpha0.1_adv30_dp0_pers0_mu0.0_seed57_datasetedge-iiotset-full,fedavg,0.1,30,0.0,57,none,20,0.0425252932698943,,306570,fedavg_alpha0.1_adv30_mu0.0
dsedge-iiotset-full_comp_median_alpha1.0_adv20_dp0_pers0_mu0.0_seed46_datasetedge-iiotset-full,median,1.0,20,0.0,46,none,20,0.6190458410655352,,306571,median_alpha1.0_adv20_mu0.0
dsedge-iiotset-full_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.1_seed46_datasetedge-iiotset-full,fedprox,1.0,0,0.1,46,none,20,0.0,0.0,0,fedprox_alpha1.0_adv0_mu0.1
dsedge-iiotset-full_comp_krum_alpha0.5_adv20_dp0_pers0_mu0.1_modetargeted_label_seed44_datasetedge-iiotset-full,krum,0.5,20,0.1,44,targeted,20,0.5093758466827791,,306571,krum_alpha0.5_adv20_mu0.1
dsedge-iiotset-full_comp_krum_alpha0.02_adv10_dp0_pers0_mu0.0_seed54_datasetedge-iiotset-full,krum,0.02,10,0.0,54,none,20,0.143825282354857,,306570,krum_alpha0.02_adv10_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed57_datasetedge-iiotset-full,median,0.5,0,0.0,57,none,20,0.6978960919326096,,306571,median_alpha0.5_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alphainf_adv20_dp0_pers0_mu0.0_seed52_datasetedge-iiotset-full,fedavg,inf,20,0.0,52,none,20,0.0534612384000694,,306570,fedavg_alphainf_adv20_mu0.0
