experiment,aggregation,alpha,seed,mu,dataset,num_clients,num_rounds,final_round,num_clients_reporting,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,acc_std
dsedge-iiotset-nightly_comp_bulyan_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx60_seed42,bulyan,0.2,42,0.0,edge-iiotset-nightly,6,15,15,6,0.6159888711132379,0.031122409519646056,0.5756075236456001,0.647738112852947,0.9704420630773241,0.04119225333122191
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp0_pers5_mu0.0_seed47,fedavg,0.5,47,0.0,edge-iiotset-nightly,6,15,15,6,0.6244202670321438,0.04156280657743811,0.5606119313653933,0.6584743602486623,0.9707751889645944,0.03758137400169413
dsedge-iiotset-nightly_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.01_seed46,unknown,,46,0.01,edge-iiotset-nightly,6,15,15,6,0.6904187569160629,0.029022010611948076,0.6641335146461382,0.7463065956269546,0.9644740666915825,0.002795601238927761
dsedge-iiotset-nightly_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.05_seed42,unknown,,42,0.05,edge-iiotset-nightly,6,15,15,6,0.6282959557912433,0.02566334771909874,0.5901083334038831,0.6535264512736157,0.96255346538765,0.004151026425114243
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx43_seed50,unknown,0.2,50,0.1,edge-iiotset-nightly,6,15,15,6,0.5053922985500925,0.04051732035130175,0.4571923747217046,0.5744490957596775,0.9704856820074839,0.03100250769323512
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp0_pers5_mu0.0_seed48,fedavg,0.5,48,0.0,edge-iiotset-nightly,6,15,15,6,0.6726598905137012,0.042391118540318955,0.5980481848834868,0.7065202770007216,0.9681220377546241,0.020991343494544082
dsedge-iiotset-nightly_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.0_seed45,fedavg,0.1,45,0.0,edge-iiotset-nightly,6,15,15,6,0.6125673500678568,0.058463179603504535,0.5475987278306629,0.7062832431890903,0.9722630445744709,0.0622211895659693
dsedge-iiotset-nightly_p0b1bacd1_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-nightly,fedavg,1.0,43,0.0,edge-iiotset-nightly,6,20,20,6,0.6801769942821125,0.03187453447382121,0.6316866225294943,0.7123800295676718,0.9639011638762681,0.003863255565573329
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx4_seed51,unknown,0.05,51,0.0,edge-iiotset-nightly,6,15,15,6,0.4399115593368314,0.073061887619377,0.35487364460820153,0.5683643104929049,0.9764831944850071,0.04478242950018075
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_pers0_mu0.1_seed46,unknown,0.2,46,0.1,edge-iiotset-nightly,6,15,15,6,0.44673685380391487,0.08245378604077953,0.34526871589994246,0.5411050590648012,0.9554387234436816,0.039310352581122594
dsedge-iiotset-nightly_comp_bulyan_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx61_seed43,bulyan,0.2,43,0.0,edge-iiotset-nightly,6,15,15,6,0.6341638866752003,0.03627492956628572,0.5964045850287214,0.6784743674049929,0.9886449979184109,0.010005812025359198
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx2_seed49,unknown,0.05,49,0.0,edge-iiotset-nightly,6,15,15,6,0.5014732613190502,0.05929097620451938,0.4399154841589817,0.5897166566633528,0.9905880219965769,0.012661069012807136
dsedge-iiotset-nightly_comp_fedprox_alpha0.05_adv0_dp0_pers0_mu0.05_seed43,unknown,0.05,43,0.05,edge-iiotset-nightly,6,15,15,6,0.41025062108954025,0.08520732984177337,0.29708141261492654,0.5347822373112189,0.9667954040235367,0.04014796869141767
