slice,n_runs,n_seeds,metric_mean,ci_low,ci_high,reliability_grade,dataset,aggregation,adv_percent,attack_mode,alpha,fedprox_mu
baseline_iid,20,20,0.4774949285808775,0.46518415612260217,0.48980570103915283,A,cic,bulyan,,,,
baseline_iid,21,21,0.4612131388056685,0.4486793084670011,0.4737469691443359,A,cic,fedavg,,,,
baseline_iid,20,20,0.42451269813032083,0.4119780742231929,0.4370473220374488,A,cic,krum,,,,
baseline_iid,20,20,0.48870111848822023,0.47788257965186415,0.4995196573245763,A,cic,median,,,,
baseline_iid,20,20,0.683804760190333,0.6771989248868544,0.6904105954938116,A,edge-iiotset-full,bulyan,,,,
baseline_iid,13,13,0.684640352304653,0.6775082096236169,0.6917724949856892,A,edge-iiotset-full,fedavg,,,,
baseline_iid,20,20,0.6461426506019102,0.6355876650587232,0.6566976361450972,A,edge-iiotset-full,krum,,,,
baseline_iid,20,20,0.6850237065938642,0.6793298229290442,0.6907175902586843,A,edge-iiotset-full,median,,,,
baseline_iid,34,20,0.44388776135751046,0.4237066473920217,0.46406887532299923,A,unsw,bulyan,,,,
baseline_iid,43,21,0.4347621895910899,0.416005783052667,0.45351859612951284,A,unsw,fedavg,,,,
baseline_iid,30,20,0.41868329193779036,0.39598832517003535,0.44137825870554537,A,unsw,krum,,,,
baseline_iid,26,20,0.4593532928186187,0.4341712414101754,0.484535344227062,A,unsw,median,,,,
attack_alpha0.5_collapsed,37,20,0.3208178022195869,0.275367102869437,0.3662685015697368,A,cic,bulyan,10.0,,,
attack_alpha0.5_collapsed,37,20,0.2879612350931438,0.23866520632606775,0.33725726386021987,A,cic,fedavg,10.0,,,
attack_alpha0.5_collapsed,37,20,0.27899565290800754,0.22502830949726593,0.33296299631874915,A,cic,fedavg,20.0,,,
attack_alpha0.5_collapsed,37,20,0.27583739689211123,0.22074228350048972,0.3309325102837327,A,cic,fedavg,30.0,,,
attack_alpha0.5_collapsed,37,20,0.27971758413330916,0.2402504092415509,0.31918475902506743,A,cic,krum,10.0,,,
attack_alpha0.5_collapsed,37,20,0.2680402146819849,0.2272872298677824,0.30879319949618744,A,cic,krum,20.0,,,
attack_alpha0.5_collapsed,37,20,0.2565387018446624,0.21492307482923867,0.2981543288600861,A,cic,krum,30.0,,,
attack_alpha0.5_collapsed,37,20,0.32468467239599624,0.27988802456586986,0.3694813202261226,A,cic,median,10.0,,,
attack_alpha0.5_collapsed,37,20,0.3154789473340201,0.2670802519921521,0.3638776426758881,A,cic,median,20.0,,,
attack_alpha0.5_collapsed,37,20,0.30735101677079896,0.25622518828054264,0.3584768452610553,A,cic,median,30.0,,,
attack_alpha0.5_collapsed,50,20,0.5944230349422598,0.573449085776988,0.6153969841075315,A,edge-iiotset-full,bulyan,10.0,,,
attack_alpha0.5_collapsed,50,20,0.41235140552796096,0.3475164154425654,0.4771863956133565,A,edge-iiotset-full,fedavg,10.0,,,
attack_alpha0.5_collapsed,50,20,0.2948836404086238,0.22868459356719562,0.361082687250052,A,edge-iiotset-full,fedavg,20.0,,,
attack_alpha0.5_collapsed,50,20,0.21062912474578688,0.1522495704191387,0.2690086790724351,A,edge-iiotset-full,fedavg,30.0,,,
attack_alpha0.5_collapsed,50,20,0.5568916035746317,0.538795713680921,0.5749874934683424,A,edge-iiotset-full,krum,10.0,,,
attack_alpha0.5_collapsed,50,20,0.4927261858868484,0.47020026773396423,0.5152521040397327,A,edge-iiotset-full,krum,20.0,,,
attack_alpha0.5_collapsed,50,20,0.4101214064425276,0.3825153170790397,0.4377274958060155,A,edge-iiotset-full,krum,30.0,,,
attack_alpha0.5_collapsed,50,20,0.5858493720506907,0.5650345825012536,0.6066641616001277,A,edge-iiotset-full,median,10.0,,,
attack_alpha0.5_collapsed,50,20,0.5209303762572431,0.4977031880449798,0.5441575644695065,A,edge-iiotset-full,median,20.0,,,
attack_alpha0.5_collapsed,50,20,0.4307654545612953,0.4022670444242947,0.4592638646982959,A,edge-iiotset-full,median,30.0,,,
attack_alpha0.5_collapsed,34,20,0.45117532907292196,0.4184761455597671,0.48387451258607683,A,unsw,bulyan,10.0,,,
attack_alpha0.5_collapsed,36,20,0.3837637889783013,0.3380588458248859,0.42946873213171677,A,unsw,fedavg,10.0,,,
attack_alpha0.5_collapsed,25,20,0.2781738513447309,0.21149588940351546,0.3448518132859463,A,unsw,fedavg,20.0,,,
attack_alpha0.5_collapsed,31,20,0.28399519885252544,0.23094774820884503,0.3370426494962058,A,unsw,fedavg,30.0,,,
attack_alpha0.5_collapsed,30,20,0.4048209686369594,0.36962389885246527,0.4400180384214535,A,unsw,krum,10.0,,,
attack_alpha0.5_collapsed,27,20,0.35558024221915857,0.3182778293167282,0.39288265512158893,A,unsw,krum,20.0,,,
attack_alpha0.5_collapsed,33,20,0.3258799263297977,0.2895271132380348,0.36223273942156053,A,unsw,krum,30.0,,,
attack_alpha0.5_collapsed,31,20,0.42905046115357953,0.39400811088057774,0.4640928114265813,A,unsw,median,10.0,,,
attack_alpha0.5_collapsed,28,20,0.3772248372516517,0.3377139748219325,0.41673569968137086,A,unsw,median,20.0,,,
attack_alpha0.5_collapsed,35,20,0.35068189956783685,0.31719166322141074,0.38417213591426297,A,unsw,median,30.0,,,
attack_alpha0.5_by_mode,5,5,0.19075343042578086,0.13769978678049474,0.24380707407106697,B,cic,bulyan,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.4409610231950968,0.42501064714718906,0.4569113992430045,A,cic,bulyan,10.0,none,,
attack_alpha0.5_by_mode,5,5,0.18808702133960212,0.15428586703142821,0.22188817564777602,B,cic,bulyan,10.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.20686785703729488,0.15057972524504404,0.2631559888295457,B,cic,fedavg,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.41388126218978527,0.39889674526027147,0.4288657791192991,A,cic,fedavg,10.0,none,,
attack_alpha0.5_by_mode,5,5,0.16292631860133763,0.1388474118789563,0.18700522532371897,B,cic,fedavg,10.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.19754472860189515,0.1332165727534685,0.2618728844503218,B,cic,fedavg,20.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.4167497699266221,0.40474065244567176,0.42875888740757245,A,cic,fedavg,20.0,none,,
attack_alpha0.5_by_mode,5,5,0.1515382120866509,0.1242477235392101,0.17882870063409168,B,cic,fedavg,20.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.19246773208370271,0.11492670278570401,0.27000876138170143,B,cic,fedavg,30.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.41673824316035546,0.40406465423803384,0.4294118320826771,A,cic,fedavg,30.0,none,,
attack_alpha0.5_by_mode,5,5,0.13985181784353845,0.11058907719066838,0.16911455849640852,B,cic,fedavg,30.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.164496107508807,0.12296905492440532,0.20602316009320867,B,cic,krum,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.38363594779782273,0.36821285264837433,0.3990590429472711,A,cic,krum,10.0,none,,
attack_alpha0.5_by_mode,5,5,0.17232641646573527,0.14339141745555195,0.20126141547591858,B,cic,krum,10.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.14574610155308454,0.08591399278826692,0.20557821031790216,B,cic,krum,20.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.3748636023832773,0.3593483649008441,0.39037883986571054,A,cic,krum,20.0,none,,
attack_alpha0.5_by_mode,5,5,0.16238568695085703,0.12868027375382388,0.1960911001478902,B,cic,krum,20.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.1398927510459592,0.09790832797338042,0.18187717411853796,B,cic,krum,30.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.3650752862351568,0.34649047745559625,0.3836600950147173,A,cic,krum,30.0,none,,
attack_alpha0.5_by_mode,5,5,0.1496499939069269,0.11224499546366154,0.18705499235019227,B,cic,krum,30.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.1967232656222957,0.13991525848706915,0.25353127275752224,B,cic,median,10.0,label_flip,,
