slice,n_runs,n_seeds,metric_mean,ci_low,ci_high,reliability_grade,dataset,aggregation,adv_percent,attack_mode,alpha,fedprox_mu
attack_alpha0.5_by_mode,3,3,0.17527166115847118,0.12899662538577938,0.22154669693116297,C,cic,bulyan,10.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.15775524398011195,0.09492860426346697,0.22058188369675694,C,cic,bulyan,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,3,3,0.07091734348534694,0.050493015382279516,0.09134167158841436,C,cic,fedavg,10.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.07880438650035262,-0.02652578995006956,0.1841345629507748,C,cic,fedavg,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,3,3,0.03276357829324606,-0.033081794564625684,0.09860895115111781,C,cic,fedavg,20.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.0360345801853425,-0.026634648568548316,0.09870380893923332,C,cic,fedavg,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,3,3,0.024154084446458227,-0.03951455776935826,0.08782272666227471,C,cic,fedavg,30.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.03428970470635698,-0.009242328838752263,0.07782173825146621,C,cic,fedavg,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,3,3,0.1449048401348087,0.08311742080474269,0.2066922594648747,C,cic,krum,10.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.1395011291747113,0.09158055893069789,0.18742169941872472,C,cic,krum,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,3,3,0.1222189724925807,0.061063756954576415,0.18337418803058497,C,cic,krum,20.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.1282250088926116,0.08048216140551248,0.1759678563797107,C,cic,krum,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,3,3,0.09701216339822498,0.04851336686389127,0.1455109599325587,C,cic,krum,30.0,grad_ascent,,
attack_alpha0.5_by_mode,4,4,0.1129190071475672,0.06883658936452841,0.15700142493060598,C,cic,krum,30.0,sign_flip_topk,,
