slice,dataset,aggregation,adv_percent,alpha,fedprox_mu,attack_mode,n_seeds,reliability_grade,metric_mean,cell_status
attack_alpha0.5_collapsed,cic,bulyan,10.0,,,,20.0,A,0.3208178022195869,claim_eligible
attack_alpha0.5_collapsed,cic,bulyan,20.0,,,,,,,missing
attack_alpha0.5_collapsed,cic,bulyan,30.0,,,,,,,missing
attack_alpha0.5_collapsed,cic,fedavg,10.0,,,,20.0,A,0.2879612350931438,claim_eligible
attack_alpha0.5_collapsed,cic,fedavg,20.0,,,,20.0,A,0.27899565290800754,claim_eligible
attack_alpha0.5_collapsed,cic,fedavg,30.0,,,,20.0,A,0.27583739689211123,claim_eligible
attack_alpha0.5_collapsed,cic,krum,10.0,,,,20.0,A,0.27971758413330916,claim_eligible
attack_alpha0.5_collapsed,cic,krum,20.0,,,,20.0,A,0.2680402146819849,claim_eligible
attack_alpha0.5_collapsed,cic,krum,30.0,,,,20.0,A,0.2565387018446624,claim_eligible
attack_alpha0.5_collapsed,cic,median,10.0,,,,20.0,A,0.32468467239599624,claim_eligible
attack_alpha0.5_collapsed,cic,median,20.0,,,,20.0,A,0.3154789473340201,claim_eligible
attack_alpha0.5_collapsed,cic,median,30.0,,,,20.0,A,0.30735101677079896,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,bulyan,10.0,,,,20.0,A,0.5944230349422598,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,bulyan,20.0,,,,,,,missing
attack_alpha0.5_collapsed,edge-iiotset-full,bulyan,30.0,,,,,,,missing
attack_alpha0.5_collapsed,edge-iiotset-full,fedavg,10.0,,,,20.0,A,0.41235140552796096,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,fedavg,20.0,,,,20.0,A,0.2948836404086238,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,fedavg,30.0,,,,20.0,A,0.21062912474578688,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,krum,10.0,,,,20.0,A,0.5568916035746317,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,krum,20.0,,,,20.0,A,0.4927261858868484,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,krum,30.0,,,,20.0,A,0.4101214064425276,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,median,10.0,,,,20.0,A,0.5858493720506907,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,median,20.0,,,,20.0,A,0.5209303762572431,claim_eligible
attack_alpha0.5_collapsed,edge-iiotset-full,median,30.0,,,,20.0,A,0.4307654545612953,claim_eligible
attack_alpha0.5_collapsed,unsw,bulyan,10.0,,,,20.0,A,0.45117532907292196,claim_eligible
attack_alpha0.5_collapsed,unsw,bulyan,20.0,,,,,,,missing
attack_alpha0.5_collapsed,unsw,bulyan,30.0,,,,,,,missing
attack_alpha0.5_collapsed,unsw,fedavg,10.0,,,,20.0,A,0.3837637889783013,claim_eligible
attack_alpha0.5_collapsed,unsw,fedavg,20.0,,,,20.0,A,0.2781738513447309,claim_eligible
