run_id,canonical_run_id,is_canonical,canonical_key_id,duplicate_group_size,dataset,aggregation,alpha,adv_percent,attack_mode,fedprox_mu,seed,quality_state,quality_rank,max_round,parsed_row_count
unsw_simple_d45d98b0f5_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed50_srccic,unsw_simple_d45d98b0f5_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed50_srccic,True,00001e0eeef9,1,unsw,median,1.0,0.0,none,0.0,50.0,complete_or_exceeds_target,0,20.0,20
cic_simple_9e10674d7e_comp_fedavg_alphainf_adv30_dp0_pers0_mu0.0_seed44,cic_simple_9e10674d7e_comp_fedavg_alphainf_adv30_dp0_pers0_mu0.0_seed44,True,00019fc9b886,1,cic,fedavg,inf,30.0,none,0.0,44.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_95f66f1037_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed49_srccic,unsw_simple_95f66f1037_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed49_srccic,True,000406e4c967,1,unsw,fedavg,1.0,0.0,none,0.0,49.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_97e26fdf0c_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed48_srccic,unsw_simple_97e26fdf0c_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed48_srccic,True,0006b2f446a5,1,unsw,median,0.5,0.0,none,0.0,48.0,complete_or_exceeds_target,0,20.0,40
dsedge-iiotset-full_comp_median_alpha0.05_adv30_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-full,dsedge-iiotset-full_comp_median_alpha0.05_adv30_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-full,True,00088822754d,1,edge-iiotset-full,median,0.05,30.0,none,0.0,44.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedavg_alpha0.05_adv10_dp0_pers0_mu0.0_n10_r20_modegrad_ascent_seed50_datasetcic,dscic_comp_fedavg_alpha0.05_adv10_dp0_pers0_mu0.0_n10_r20_modegrad_ascent_seed50_datasetcic,True,000fb0729e5e,1,cic,fedavg,0.05,10.0,grad_ascent,0.0,50.0,complete_or_exceeds_target,0,20.0,20
dsedge-iiotset-full_comp_fedavg_alphainf_adv20_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,dsedge-iiotset-full_comp_fedavg_alphainf_adv20_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,True,001259d7e013,1,edge-iiotset-full,fedavg,inf,20.0,none,0.0,45.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_294715ea2a_comp_bulyan_alphainf_adv0_dp0_pers0_mu0.1_seed46_srcedge-iiotset-full,unsw_simple_294715ea2a_comp_bulyan_alphainf_adv0_dp0_pers0_mu0.1_seed46_srcedge-iiotset-full,True,0019aa977db2,1,unsw,bulyan,inf,0.0,none,0.1,46.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_4a3ab519d3_comp_fedavg_alphainf_adv30_dp0_pers0_mu0.0_seed49_srccic,unsw_simple_4a3ab519d3_comp_fedavg_alphainf_adv30_dp0_pers0_mu0.0_seed49_srccic,True,001da867e2d9,1,unsw,fedavg,inf,30.0,targeted_label,0.0,49.0,complete_or_exceeds_target,0,20.0,20
comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.02_seed45,comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.02_seed45,True,001f0b29a450,1,unsw,fedavg,0.2,0.0,none,0.02,45.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_krum_alpha0.2_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed53_datasetcic,dscic_comp_krum_alpha0.2_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed53_datasetcic,True,00219cabcb13,2,cic,krum,0.2,10.0,targeted_label,0.0,53.0,truncated_before_target,1,1.0,1
dscic_comp_krum_alpha0.2_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed53_datasetcic__partial_20251231_003641,dscic_comp_krum_alpha0.2_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed53_datasetcic,False,00219cabcb13,2,cic,krum,0.2,10.0,targeted_label,0.0,53.0,truncated_before_target,1,1.0,1
unsw_simple_331bb092c2_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.2_seed45,unsw_simple_331bb092c2_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.2_seed45,True,00277e6e409e,1,unsw,fedavg,0.02,0.0,none,0.2,45.0,complete_or_exceeds_target,0,20.0,20
dsedge-iiotset-full_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_modetargeted_label_seed44_datasetedge-iiotset-full,dsedge-iiotset-full_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_modetargeted_label_seed44_datasetedge-iiotset-full,True,0029c5226ce6,1,edge-iiotset-full,median,0.5,30.0,targeted_label,0.0,44.0,complete_or_exceeds_target,0,20.0,20
dsedge-iiotset-full_comp_median_alpha0.05_adv0_dp0_pers0_mu0.0_seed52_datasetedge-iiotset-full,dsedge-iiotset-full_comp_median_alpha0.05_adv0_dp0_pers0_mu0.0_seed52_datasetedge-iiotset-full,True,0039db35c37f,1,edge-iiotset-full,median,0.05,0.0,none,0.0,52.0,complete_or_exceeds_target,0,20.0,20
comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.1_seed44,comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.1_seed44,True,004280affa9b,1,unsw,fedavg,0.5,0.0,none,0.1,44.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_412e864082_comp_median_alpha0.1_adv30_dp0_pers0_mu0.0_seed43,unsw_simple_412e864082_comp_median_alpha0.1_adv30_dp0_pers0_mu0.0_seed43,True,00473135138b,1,unsw,median,0.1,30.0,label_flip,0.0,43.0,truncated_before_target,1,1.0,1
cic_simple_43c2322d79_comp_median_alpha0.1_adv30_dp0_pers0_mu0.0_seed59,cic_simple_43c2322d79_comp_median_alpha0.1_adv30_dp0_pers0_mu0.0_seed59,True,00475c79ca95,1,cic,median,0.1,30.0,none,0.0,59.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_1bc9a575cb_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.05_seed42_srccic,unsw_simple_1bc9a575cb_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.05_seed42_srccic,True,0049192cc9dc,1,unsw,fedprox,0.02,0.0,none,0.05,42.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_69d93525c4_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.05_seed43_srccic,unsw_simple_69d93525c4_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.05_seed43_srccic,True,0053b042d032,1,unsw,fedavg,0.1,0.0,none,0.05,43.0,complete_or_exceeds_target,0,20.0,20
