run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
archive_20260107_185922,missing_core_file,,0,,
cic_simple_0006b5e2ad_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_002ccd1b8a_comp_fedavg_alpha0.05_adv20_dp0_pers0_mu0.0_seed59,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0055f37f9e_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed48,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_008160840b_comp_median_alpha0.05_adv10_dp0_pers0_mu0.0_seed51,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0089805186_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.08_seed46,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_00a7b6f4cf_comp_median_alpha0.05_adv0_dp0_pers0_mu0.0_seed56,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_00b3c65575_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.2_seed45,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_00eeefbd08_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.002_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_00ff4517dd_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.01_seed46,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0101ad7798_comp_krum_alpha0.5_adv10_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_01074f0e05_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_seed48,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_010b79c0b1_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed56,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_01307e5783_comp_median_alpha0.02_adv10_dp0_pers0_mu0.0_seed57,complete_or_exceeds_target,20.0,20,cic,median
