run_id,run_path,family,is_partial,source_override_type,has_source_override,has_config,has_metrics,run_mtime,config_size_bytes,metrics_size_bytes,config_signature_id,metrics_signature_id,dataset,aggregation,alpha,adversary_fraction,adv_percent,fedprox_mu,dp_enabled,dp_noise_multiplier,personalization_epochs,seed,num_clients,num_rounds,adversary_mode,attack_mode,source_dataset,source_datasets,quality_state,max_round,parsed_row_count,final_metric
archive_20260107_185922,runs/archive_20260107_185922,other,False,,False,False,False,1772215108.5660443,0,0,,,,,,,,,False,,,,,,none,none,,,missing_core_file,,0,
cic_simple_0006b5e2ad_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed47,runs/cic_simple_0006b5e2ad_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed47,simple,False,,False,True,True,1768033719.0819077,450,5178,2e0a9a1bba72,b85bd1fb2cfd,cic,fedavg,0.2,0.0,0.0,0.0,False,0.0,0.0,47.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3989688217751569
cic_simple_002ccd1b8a_comp_fedavg_alpha0.05_adv20_dp0_pers0_mu0.0_seed59,runs/cic_simple_002ccd1b8a_comp_fedavg_alpha0.05_adv20_dp0_pers0_mu0.0_seed59,simple,False,,False,True,True,1768006116.1943471,453,5328,2e0a9a1bba72,b85bd1fb2cfd,cic,fedavg,0.05,0.2,20.0,0.0,False,0.0,0.0,59.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.537350630626607
cic_simple_0055f37f9e_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed48,runs/cic_simple_0055f37f9e_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed48,simple,False,,False,True,True,1767942684.288092,452,5061,2e0a9a1bba72,b85bd1fb2cfd,cic,median,0.02,0.0,0.0,0.0,False,0.0,0.0,48.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.4440497352440931
cic_simple_008160840b_comp_median_alpha0.05_adv10_dp0_pers0_mu0.0_seed51,runs/cic_simple_008160840b_comp_median_alpha0.05_adv10_dp0_pers0_mu0.0_seed51,simple,False,,False,True,True,1767961856.3471096,453,5081,2e0a9a1bba72,b85bd1fb2cfd,cic,median,0.05,0.1,10.0,0.0,False,0.0,0.0,51.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3460185408516616
cic_simple_0089805186_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.08_seed46,runs/cic_simple_0089805186_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.08_seed46,simple,False,,False,True,True,1767878314.8682008,451,5221,2e0a9a1bba72,b85bd1fb2cfd,cic,fedavg,0.2,0.0,0.0,0.08,False,0.0,0.0,46.0,6.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.2797387845336084
cic_simple_00a7b6f4cf_comp_median_alpha0.05_adv0_dp0_pers0_mu0.0_seed56,runs/cic_simple_00a7b6f4cf_comp_median_alpha0.05_adv0_dp0_pers0_mu0.0_seed56,simple,False,,False,True,True,1767959845.744319,452,5080,2e0a9a1bba72,b85bd1fb2cfd,cic,median,0.05,0.0,0.0,0.0,False,0.0,0.0,56.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3488321273915764
cic_simple_00b3c65575_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.2_seed45,runs/cic_simple_00b3c65575_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.2_seed45,simple,False,,False,True,True,1767909006.754142,449,5240,2e0a9a1bba72,b85bd1fb2cfd,cic,fedavg,1.0,0.0,0.0,0.2,False,0.0,0.0,45.0,6.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.2938905886080865
cic_simple_00eeefbd08_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.002_seed42,runs/cic_simple_00eeefbd08_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.002_seed42,simple,False,,False,True,True,1767858450.305795,453,5325,2e0a9a1bba72,b85bd1fb2cfd,cic,fedavg,0.1,0.0,0.0,0.002,False,0.0,0.0,42.0,6.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3984688416887522
cic_simple_00ff4517dd_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.01_seed46,runs/cic_simple_00ff4517dd_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.01_seed46,simple,False,,False,True,True,1767835213.1168878,456,5160,2e0a9a1bba72,b85bd1fb2cfd,cic,fedprox,0.02,0.0,0.0,0.01,False,0.0,0.0,46.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3115037760415933
cic_simple_0101ad7798_comp_krum_alpha0.5_adv10_dp0_pers0_mu0.0_seed45,runs/cic_simple_0101ad7798_comp_krum_alpha0.5_adv10_dp0_pers0_mu0.0_seed45,simple,False,,False,True,True,1767914909.3824885,447,5312,2e0a9a1bba72,b85bd1fb2cfd,cic,krum,0.5,0.1,10.0,0.0,False,0.0,0.0,45.0,11.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3751372448282539
cic_simple_01074f0e05_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_seed48,runs/cic_simple_01074f0e05_comp_median_alpha0.5_adv20_dp0_pers0_mu0.0_seed48,simple,False,,False,True,True,1767998219.72285,451,5116,2e0a9a1bba72,b85bd1fb2cfd,cic,median,0.5,0.2,20.0,0.0,False,0.0,0.0,48.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.4857306934784126
cic_simple_010b79c0b1_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed56,runs/cic_simple_010b79c0b1_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed56,simple,False,,False,True,True,1767960731.3872285,450,5353,2e0a9a1bba72,b85bd1fb2cfd,cic,bulyan,0.5,0.0,0.0,0.0,False,0.0,0.0,56.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.4242436996741112
cic_simple_01307e5783_comp_median_alpha0.02_adv10_dp0_pers0_mu0.0_seed57,runs/cic_simple_01307e5783_comp_median_alpha0.02_adv10_dp0_pers0_mu0.0_seed57,simple,False,,False,True,True,1767949254.791695,453,5083,2e0a9a1bba72,b85bd1fb2cfd,cic,median,0.02,0.1,10.0,0.0,False,0.0,0.0,57.0,10.0,20.0,none,none,,,complete_or_exceeds_target,20.0,20,0.3258728857534873
