signature_id,key_count,keys_json,runs_count
4db4da187e98,15,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""attack_mode"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed""]",2955
2e0a9a1bba72,15,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed""]",2758
2d8ef3c12331,17,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""attack_mode"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed"", ""source_dataset""]",2749
7de2db1c0979,13,"[""adversary_fraction"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""seed"", ""temporal_validation""]",2222
1f39ccbf13c9,12,"[""adversary_fraction"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""seed""]",1239
14399602d176,17,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""attack_mode"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed"", ""source_datasets""]",1113
f349bc95a130,15,"[""adversary_fraction"", ""aggregation"", ""alpha"", ""client_data_paths"", ""client_datasets"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""seed"", ""temporal_validation""]",652
481f510422b7,16,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed"", ""source_dataset""]",442
adaa13c3cecb,15,"[""adversary_fraction"", ""adversary_mode"", ""adversary_target_class"", ""adversary_topk_fraction"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""seed""]",300
4632141434a4,16,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed"", ""source_datasets""]",173
3830a9b2d14d,15,"[""adversary_fraction"", ""aggregation"", ""alpha"", ""client_fraction"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""fraction_eval"", ""local_epochs"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""seed""]",81
6d71f34196c2,17,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed"", ""source_dataset"", ""temporal_validation""]",7
1caa7c9ba3cc,17,"[""adversary_fraction"", ""adversary_mode"", ""aggregation"", ""alpha"", ""data_path"", ""dataset"", ""dp_enabled"", ""dp_noise_multiplier"", ""fedprox_mu"", ""model_arch"", ""num_clients"", ""num_rounds"", ""personalization_epochs"", ""run_name"", ""seed"", ""source_datasets"", ""temporal_validation""]",4
