aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,2.652389231853341,-5.36097889795805,10.665757361664733,3,0.0
fedavg,0.1,1.0,1.0,1.0,3,62.298142821924515
fedavg,0.3,0.6750632962392915,0.14492376252777772,1.2052028299508053,4,74.54886001902537
krum,0.0,0.9688898158803003,0.9427409781098077,0.9950386536507929,5,0.0
krum,0.1,0.9688898158803003,0.9427409781098077,0.9950386536507929,5,0.0
krum,0.3,0.7867618332505997,0.5799290515362499,0.9935946149649495,4,18.797594901358867
bulyan,0.0,0.9943797782567213,0.9841838117269288,1.0045757447865138,3,0.0
bulyan,0.1,0.9300836123607797,0.9216281809989008,0.9385390437226587,3,6.465956700030767
bulyan,0.3,0.8539265662924813,0.7573343520242333,0.9505187805607294,3,14.124705171546525
median,0.0,0.9993890146623103,0.9985311561040864,1.0002468732205343,5,0.0
median,0.1,0.9995476252540675,0.9984582112195121,1.0006370392886228,4,0.0
median,0.3,0.8942778971108445,0.7770936115979254,1.0114621826237635,4,10.517537816541088
