aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,0.762558108253655,0.7318090848361138,0.7933071316711962,5,0.0
fedavg,0.1,0.7202431822494411,0.6959931383116345,0.7444932261872477,5,5.549075610922287
fedavg,0.3,0.567831998436043,0.5553087648532363,0.5803552320188498,4,25.53590443927702
krum,0.0,0.7706888218301883,0.7505638945685448,0.7908137490918318,5,0.0
krum,0.1,0.7132427846596119,0.6863387344671557,0.7401468348520681,4,7.453856283286527
krum,0.3,0.6155777508683374,0.5921318087277717,0.6390236930089032,4,20.12629047784835
bulyan,0.0,0.7132601617553582,0.5165617624951576,0.9099585610155588,5,0.0
bulyan,0.1,0.7283068279204623,0.7016704350318771,0.7549432208090475,5,0.0
bulyan,0.3,0.6162214075022587,0.5844591469642848,0.6479836680402327,5,13.604959235951677
median,0.0,0.7750983137933143,0.738898540261594,0.8112980873250346,5,0.0
median,0.1,0.7240188538351731,0.7080803923998167,0.7399573152705294,5,6.590062066856972
median,0.3,0.5919972420697039,0.5657590173448901,0.6182354667945178,4,23.622948013848422
