aggregation,alpha,f1_mean,f1_std,f1_min,f1_max,n_seeds,n_records
Bulyan,1.0,0.6905321286283241,,0.6905321286283241,0.6905321286283241,1,1
FedAvg,0.02,0.4814849430086436,0.06887238817014198,0.3730255923188225,0.5937231778945222,8,8
FedAvg,0.05,0.587666770830604,0.04167083933233282,0.5082793501758093,0.6392440990902302,8,8
FedAvg,0.1,0.6219631677224057,0.028999596239662046,0.5881761591800814,0.6693503896401205,8,8
FedAvg,0.2,0.6782490552858332,0.013167479085805789,0.6483873274468654,0.6920356484625506,8,8
FedAvg,0.5,0.690453053506663,0.007198000938640078,0.6816210066475419,0.7009148805231522,8,8
FedAvg,1.0,0.6944914660828579,0.010642518151367724,0.6717627196572666,0.7068235157349014,8,8
FedAvg,inf,0.7197099795818346,0.009614778129814747,0.7026106289770658,0.7305839124264745,8,8
FedProx,0.02,0.4521668446560016,0.0818906067603225,0.36246003542844224,0.607452724256912,8,49
FedProx,0.05,0.5738177156383638,0.04060886813013249,0.48039293633822,0.6430392851319698,8,51
FedProx,0.1,0.6221901910310104,0.035330118169916255,0.5774097205869426,0.7168536647556312,8,51
FedProx,0.2,0.6691442035698594,0.019627338080697058,0.6350527214888035,0.7209174442404307,8,51
FedProx,0.5,0.687043761594618,0.006637464093835174,0.6714216022245302,0.7018783252007591,8,51
FedProx,1.0,0.6977217810958246,0.008917817086058951,0.6771992287867665,0.7167476927284104,8,51
FedProx,inf,0.7227607958481056,0.005862049192023727,0.7109861525948165,0.7395043068846592,8,51
Krum,1.0,0.6679766719708913,0.0024022094192751014,0.6662780534006917,0.669675290541091,2,2
Median,1.0,0.6757009162217775,,0.6757009162217775,0.6757009162217775,1,1
