aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,0.7296720604916853,0.6818867182844911,0.7774574026988795,5,0.0
fedavg,0.1,0.6998770228437035,0.35525714798701463,1.0444968977003923,5,4.083346377262225
fedavg,0.3,0.4819768982029099,0.16752055841182806,0.7964332379939918,5,33.946093827666566
krum,0.0,0.9003648607225705,0.7381310096581761,1.0625987117869649,5,0.0
krum,0.1,0.8348491596760184,0.6925135062468911,0.9771848131051456,5,7.2765724102086535
krum,0.3,0.7556059423461573,0.6055713806901224,0.9056405040021922,5,16.077806308460296
bulyan,0.0,0.9084064984551432,0.7540976577555387,1.0627153391547477,5,0.0
bulyan,0.1,0.8346418278522943,0.6765168698054954,0.9927667858990933,5,8.120227093079446
bulyan,0.3,0.7546229138699095,0.5533620509449086,0.9558837767949104,5,16.928939285084546
median,0.0,0.9175394472887775,0.7764978242685133,1.0585810703090415,5,0.0
median,0.1,0.8815692722685349,0.754976974445116,1.0081615700919537,5,3.9202864930254795
median,0.3,0.8174679206214972,0.7631157335616545,0.8718201076813399,5,10.906509465394649
