aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,0.7959787961061835,0.6540034183020496,0.9379541739103174,5,0.0
fedavg,0.1,0.820071779330093,0.6812555917503655,0.9588879669098205,5,0.0
fedavg,0.3,0.5536987938109087,0.5154654490172319,0.5919321386045855,5,30.437997027116122
krum,0.0,0.8190489518560454,0.6934121756465951,0.9446857280654958,5,0.0
krum,0.1,0.8412185335947088,0.6959505928528107,0.9864864743366069,5,0.0
krum,0.3,0.6918397558124914,0.5668038784612,0.8168756331637828,5,15.531330057292122
bulyan,0.0,0.758542079217516,0.5036663186837809,1.0134178397512512,5,0.0
bulyan,0.1,0.7613839208727206,0.6468523587743724,0.8759154829710687,5,0.0
bulyan,0.3,0.6787374415785112,0.5654345140514621,0.7920403691055604,5,10.520792428724365
median,0.0,0.8280249885355572,0.7065800600500384,0.949469917021076,5,0.0
median,0.1,0.7630216879019736,0.6455315916557618,0.8805117841481853,5,7.850403252750655
median,0.3,0.7402971191445487,0.6199420568521323,0.860652181436965,5,10.594833562470596
