alpha,mu,agg,n_baseline,n_variant,p_value,cohens_d,mean_baseline,mean_variant
0.05,0.01,FedProx,5,5,0.9639872975097492,-0.02947621858033781,0.47937188010613363,0.47854529510953475
0.05,0.05,FedProx,5,10,0.002297494194766064,-1.7127753117930482,0.47937188010613363,0.3966871114726517
0.05,0.1,FedProx,5,10,6.151694562179281e-05,-2.7703438878094575,0.47937188010613363,0.3577976323229789
0.1,0.01,FedProx,4,5,0.6222714324776933,-0.3266235533818315,0.5761704621080352,0.5646317148681915
0.1,0.05,FedProx,4,10,0.0004829999264201179,-2.3942092640092674,0.5761704621080352,0.4814944505225195
0.1,0.1,FedProx,4,10,1.528568123793708e-05,-4.312854276108967,0.5761704621080352,0.4259496277600593
0.2,0.01,FedProx,5,5,0.5246069226368828,0.4212682156696376,0.6186965689223621,0.6279794858782257
0.2,0.05,FedProx,5,10,0.0006856804877900298,-3.0223574729976197,0.6186965689223621,0.5488787180698173
0.2,0.1,FedProx,5,10,4.246262467596257e-06,-5.2840193447565635,0.6186965689223621,0.48445255152245864
0.5,0.01,FedProx,10,5,0.0004254824301982964,2.0862740934527655,0.6335117832639812,0.6614140423069588
0.5,0.05,FedProx,10,10,0.04675546135404593,-1.0224356177132408,0.6335117832639812,0.5629355745753216
0.5,0.1,FedProx,10,5,3.939937873295574e-08,-5.911627990724513,0.6335117832639812,0.5519636792515528
1.0,0.01,FedProx,10,5,0.09247457361455874,-0.8050170872179929,0.7014868828344722,0.6887945203265499
1.0,0.05,FedProx,10,5,2.1509880841365142e-05,-3.081702008890479,0.7014868828344722,0.6518633514276259
1.0,0.1,FedProx,10,5,3.9466165311235376e-07,-4.0048136987838525,0.7014868828344722,0.639914112603402
inf,0.01,FedProx,5,5,0.6402935197520512,-0.3071831950596658,0.69048364124797,0.6855657215715675
inf,0.05,FedProx,5,5,5.595408030113832e-05,-4.887790881669103,0.69048364124797,0.6091019500610513
inf,0.1,FedProx,5,5,6.507156510308404e-05,-8.87610676805846,0.69048364124797,0.5823611792975891
