aggregation,adversary_fraction,macro_f1_mean,ci_lower,ci_upper,n,degradation_pct
fedavg,0.0,0.6950361878622975,0.676745011759095,0.7133273639655,10,0.0
fedavg,0.1,0.35271747253489527,0.16683438276427542,0.5386005623055151,9,49.251926922001275
fedavg,0.2,0.16840615000958928,0.0163089316415565,0.32050336837762206,8,75.77016089945602
fedavg,0.3,0.18648535568473731,-0.08377709716106771,0.4567478085305423,5,73.16897178284991
krum,0.0,0.6657452166668051,0.6537155031362628,0.6777749301973474,10,0.0
krum,0.1,0.589025923955935,0.5702097353918087,0.6078421125200613,9,11.523821845086852
krum,0.2,0.5352398885809313,0.523893342673888,0.5465864344879746,8,19.602893842673996
krum,0.3,0.4502326775067152,0.431344058416355,0.4691212965970754,5,32.37162412357977
bulyan,0.0,0.6961569762968356,0.684938633286745,0.7073753193069262,10,0.0
bulyan,0.1,0.6094590003398908,0.5850028688390694,0.6339151318407121,5,12.45379690341242
bulyan,0.2,0.5586045545144651,0.5200736197835658,0.5971354892453644,4,19.75882257390742
median,0.0,0.6888048636126675,0.6736184950300078,0.7039912321953271,10,0.0
median,0.1,0.6192522451907091,0.6067487958173732,0.631755694564045,6,10.097579459176059
median,0.2,0.5544345272627825,0.5180898043885804,0.5907792501369846,4,19.507750808427044
median,0.3,0.4887323245036905,0.4757889310849522,0.5016757179224287,5,29.04633077931965
