dataset,epsilon,macro_f1_mean,ci_lower,ci_upper,n,dp_noise_multiplier,is_baseline
cic,12.301691480042896,0.06428790513354828,0.0630233202899137,0.06555248997718285,4,2.0,0
cic,17.6647086427425,0.083965118813852,0.083965118813852,0.083965118813852,1,1.5,0
cic,30.12663110385034,0.1394029081712456,0.1394029081712456,0.1394029081712456,1,1.0,0
cic,49.49557037588816,0.18936817104089335,0.14991650870745185,0.22881983337433484,3,0.6999999999999998,0
cic,81.116308425056,0.3119806851616001,0.3119806851616001,0.3119806851616001,1,0.5,0
cic,1211.7782575788603,0.7485999268264197,0.7485999268264197,0.7485999268264197,1,0.1,0
edge-iiotset-nightly,143.35503676904383,0.6057553389990108,0.5934153410738509,0.6180953369241707,10,0.29999999999999993,0
edge-iiotset-nightly,936.7782575788605,0.6419967878014511,0.6133305196196125,0.6706630559832897,5,0.1,0
edge-iiotset-nightly,inf,0.6546844169358194,0.6087929181713234,0.7005759157003153,10,,1
unsw,9.209958991683898,0.8969460763234847,0.8969460763234847,0.8969460763234847,1,1.5,0
unsw,12.301691480042896,0.8109281071318376,0.8109281071318376,0.8109281071318376,1,2.0,0
unsw,16.51287594668254,0.8336742740993376,0.8336742740993376,0.8336742740993376,1,1.5,0
unsw,17.6647086427425,0.8709018148687244,0.1608060385408564,1.0,2,1.5,0
unsw,30.12663110385034,0.900680802190894,0.8371820470564887,0.9641795573252993,4,1.0,0
unsw,49.49557037588816,0.9106457195988007,0.9034456543331169,0.9178457848644845,2,0.7,0
unsw,81.116308425056,0.9493423522921389,0.9086986174600078,0.98998608712427,4,0.5,0
unsw,1211.7782575788603,0.9970598550199601,0.9962298647090745,0.9978898453308457,4,0.1,0
