round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,bulyan,11,,0.8804440645304692,0.9929094314575195,0.05357621216180017,7.6120310696688565,0.2098043372019643,3.2885420077946037,2404.800415999489,0.9090023582631891,0.031080793588416242,2.177825602618131,0.33004250927300804
2,bulyan,11,,0.644969904751673,0.9974539279937744,0.0,9.177607709711248,0.1846848454027369,12.752916998579167,256.04054200812243,0.9682412938638167,0.007771587292455256,1.5612148263237693,0.1892555688892646
3,bulyan,11,,0.5346547448469476,0.998565137386322,0.08036431824270024,10.090542793273926,0.12521269165827084,1.3127499987604097,253.3960830041906,0.9766502261161805,0.00410133373842339,1.4692240303212947,0.13968775621885457
4,bulyan,11,,0.47310910151314134,0.9990208148956299,0.0,10.789650917053223,0.13920856723717656,4.342792002717033,248.18220900488086,0.9802298535000195,0.003085247227365705,1.4467364766381003,0.14000617726832384
5,bulyan,11,,0.47429269942506147,0.9990936517715454,0.0,11.241008151661266,0.09325783034290919,1.9456249865470454,236.80754100496415,0.9808354832909324,0.0032078264437736237,1.4804493513974277,0.13834413380997856
6,bulyan,11,,0.48189401551636185,0.9991449117660522,0.0,11.680083014748313,0.08442464456112216,2.8172919992357492,213.76866700302344,0.9811671007763255,0.003414910777158339,1.5211353410374036,0.16643602053716644
7,bulyan,11,,0.47174637737492936,0.9992188811302185,0.9375837128315029,12.030268929221414,0.08862489234303929,6.467416998930275,235.0945829966804,0.9831561933864247,0.0024499083877930045,1.4862612269141457,0.12250912653630233
8,bulyan,11,,0.49398860105361087,0.9991897344589233,0.0,12.360906427556818,0.08569496163219242,27.90724999795202,438.69316700147465,0.9822702483697371,0.002820299450313378,1.5644561594182795,0.15048452033345155
9,bulyan,11,,0.4893278506182229,0.9992408752441406,0.42860969729440135,12.6366680318659,0.09520464151227559,43.58191699429881,544.85933300748,0.98368027752096,0.002245321552464852,1.5365314050154253,0.13147818096724806
10,bulyan,11,,0.5093501161076635,0.9992156028747559,0.4420037503348513,12.952133872292258,0.0867500318910799,90.03766599926166,444.1545000008773,0.9838855808431451,0.002507139457763641,1.5631520531394265,0.14725721703533803
11,bulyan,11,,0.48750462732230904,0.9993134140968323,0.026788106080900084,13.242600094188344,0.06040943620585358,62.56770899926778,448.5169580002548,0.984861718524586,0.0031289283625336685,1.5430886311964556,0.18832768212735146
12,bulyan,11,,0.5019861737888472,0.9992982745170593,0.0,13.494604284113104,0.07477064492044642,28.103750009904616,480.39158299798146,0.98417461568659,0.002856297810276978,1.610451340675354,0.1788393400350968
13,bulyan,11,,0.4870851137961583,0.9993642568588257,0.3884275381730512,13.741506056352096,0.06876157349232397,15.506708004977554,390.02308300405275,0.9857973077080466,0.00205856482711904,1.556904131715948,0.1386973806221305
14,bulyan,11,,0.4944369250615632,0.9993691444396973,0.0,14.00257717479359,0.058680551293109236,6.4470420038560405,237.44158301269636,0.9861332004720514,0.0028386781401874444,1.5621728138490156,0.18883974216819466
15,bulyan,11,,0.4632081247121066,0.9994650483131409,0.0,14.231919028542258,0.06483713344154994,90.86908301105723,557.2680420009419,0.9867645686322992,0.0018738932870107038,1.5570646741173484,0.12713473676804982
16,bulyan,11,,0.548370283469573,0.9992737770080566,0.0,14.482498775828969,0.0431873726647822,39.50979201181326,751.6223330021603,0.9860703186555342,0.0023128876014982466,1.622690959410234,0.15945212099350142
17,bulyan,11,,0.48457429745052105,0.9994527101516724,0.21430484864720067,14.696435581554066,0.08714412404114757,13.527625007554889,710.3872909938218,0.9872955224730752,0.002498067541093999,1.5698054920543323,0.19619273806137777
18,bulyan,11,,0.5051559653208171,0.9994235634803772,0.17412268952585053,14.967351566661488,0.04994214524278695,37.4026670033345,477.6727090065833,0.9870404286818071,0.0026847403430038034,1.6114433461969548,0.2133130960692665
19,bulyan,11,,0.48710620619502965,0.999482274055481,0.0,15.21994365345348,0.05454000283567443,363.09229099424556,742.4116250040242,0.9883950981226834,0.0025000597350863063,1.5505600625818425,0.20944641121365137
20,bulyan,11,,0.4762510896069574,0.9995208978652954,0.0,15.441072550686924,0.05262114656648327,38.325625006109476,532.3515000054613,0.9892162951556119,0.0020899185541795946,1.5193848176435991,0.17676050117538944
