round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,6,,0.12984828659823625,0.9999979138374329,0.0,60.78871409098307,0.004953286431901234,0.11870800517499447,3829.8698750004405,0.9998892784118653,1.9910601860146943e-05,0.5818064212799072,0.048132042223311994
2,fedavg,6,,0.09957862908632063,0.9999992251396179,0.0,86.34030532836914,0.006060259044333853,0.10433299758005887,592.5969170057215,0.9999682943026225,6.246629966209114e-06,0.4425383061170578,0.03980170502038874
3,fedavg,6,,0.10558351685869714,0.9999994039535522,0.0,104.85035705566406,0.010962068298942643,0.1033750013448298,708.7094579910627,0.9999762892723083,4.014374669368881e-06,0.46417567133903503,0.04419920123452481
4,fedavg,6,,0.09635732511544218,0.9999998807907104,0.0,120.97675323486328,0.006196532366169051,0.3506669891066849,827.1900409890804,0.9999851107597351,3.3638853508390587e-06,0.42306648194789886,0.04662566789394583
5,fedavg,6,,0.10184930667164273,0.9999997615814209,0.013394053040450042,135.41071573893228,0.006914828357438286,0.10058301268145442,581.0103330004495,0.9999878366788229,3.5849748070260596e-06,0.42525513966878253,0.07194286098805397
6,fedavg,6,,0.1024752816615174,0.9999998211860657,0.06697026520225019,149.42326863606772,0.008103976565560942,0.09620800847187638,642.1892500075046,0.9999900221824646,2.5010097583662713e-06,0.42807282507419586,0.04820950758346895
7,fedavg,6,,0.1013968770290652,0.9999996423721313,0.0,160.867312113444,0.00474981060948044,0.12629199773073196,667.6156249886844,0.9999905506769816,2.2497487848743224e-06,0.44921662906805676,0.04423226586076661
8,fedavg,6,,0.10162281322598704,1.0,0.013394053040450042,171.10684712727866,0.009748967852650487,0.2529170014895499,601.8517909978982,0.9999913533528646,2.576820924286273e-06,0.45333154996236164,0.07265552454154318
9,fedavg,6,,0.10236838995344177,0.9999998807907104,0.0,181.33165740966797,0.007448220914376266,0.09245799446944147,479.36625000147615,0.9999926805496215,2.258924295345752e-06,0.4404557794332504,0.062384292416960634
10,fedavg,6,,0.1029584215186754,1.0,0.013394053040450042,192.27525838216147,0.006831926728409894,0.09662500815466046,525.4590830008965,0.9999940991401672,1.7940899066081537e-06,0.42179161806901294,0.060773318040591946
11,fedavg,6,,0.09638984634164843,0.9999998807907104,0.0,201.68190002441406,0.00816526303750056,0.0947499938774854,838.5879580018809,0.9999949097633362,1.5724484034186032e-06,0.4082395037015279,0.06548635473091273
12,fedavg,6,,0.09883601842840889,1.0,0.013394053040450042,211.64608764648438,0.004823354471190445,0.1078750065062195,877.0232920069247,0.9999950408935547,1.3232052145998824e-06,0.42486269275347394,0.06691506916286706
13,fedavg,6,,0.09424110721188367,1.0,0.0,219.96768188476562,0.005533788718042237,0.08883400005288422,1111.5044579928508,0.9999958713849385,9.059034551012284e-07,0.4050588955481847,0.04954625410596184
14,fedavg,6,,0.10018694294284251,1.0,0.0,226.8870646158854,0.0034779069148850456,0.09637500625103712,788.0681670067133,0.9999959746996562,9.676942525289288e-07,0.4173272003730138,0.047352168613067416
15,fedavg,6,,0.09792118748288109,0.9999997615814209,0.013394053040450042,234.97736612955728,0.0056792539637776805,0.0992920104181394,574.180042007356,0.999996010462443,9.95110012125504e-07,0.424514040350914,0.05579310390370271
16,fedavg,6,,0.10126704295165043,0.9999998211860657,0.0,242.85873667399088,0.0034660120942906422,0.09420800779480487,694.5494169922313,0.9999963204065959,9.235108773870152e-07,0.4222097893555959,0.053427191820595875
17,fedavg,6,,0.10013358228582016,0.9999999403953552,0.013394053040450042,249.46559397379556,0.00879927949398028,0.10233299690298736,797.4680829938734,0.9999964118003846,9.962359626663292e-07,0.4248279283444087,0.06356679680731499
18,fedavg,6,,0.09214495581846951,0.9999998807907104,0.04018215912135012,256.6722462972005,0.006203691883298962,0.08920900290831923,895.9835410059895,0.9999969800313314,7.05475521760691e-07,0.4007791777451833,0.05301606644623044
19,fedavg,6,,0.08619557615230271,1.0,0.013394053040450042,264.451655069987,0.005932625996007952,0.0898750004125759,700.3789590089582,0.9999971826871236,7.540923327737092e-07,0.398837889234225,0.059226937593909665
20,fedavg,6,,0.09115333273544562,0.9999997615814209,0.013394053040450042,271.55165100097656,0.005019739631552799,0.0914999982342124,1140.4872079874622,0.9999974409739176,6.787140417823688e-07,0.3979167292515437,0.06155807796717723
