round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,median,11,,1.4193957941151725,0.9774861931800842,100.0,7.970203052867543,3.13164009205508,2.887666007154621,69846.29204199882,0.7699174322865227,0.2007726747322321,3.9898817322470923,3.5026680485757558
2,median,11,,1.2971923131854601,0.9841527938842773,100.0,8.129934917796742,2.826076892210157,2.0946659933542833,2734.397459003958,0.863066434318369,0.19593673537407985,3.0608721646395596,3.4087118612478773
3,median,11,,1.2998628588985814,0.9854884147644043,100.0,8.349799069491299,2.8817519534620533,2.1124579943716526,2946.420415988541,0.8822611613707109,0.18927134716013308,2.921594197099859,3.476214963675255
4,median,11,,1.285350501123882,0.986388623714447,100.0,8.538771499286998,2.9183909919074593,2.1491670049726963,3089.3907499994384,0.8802872684868899,0.18885257643129208,2.9770302122289483,3.5504746472938358
5,median,11,,1.2727664160349652,0.9869906902313232,100.0,8.58210277557373,2.726743810932415,2.014666999457404,2917.620416992577,0.889166350256313,0.18611332644185885,2.811607750979337,3.4137081867452452
6,median,11,,1.3491386913618963,0.9856473207473755,100.0,8.699808510867031,2.8883859919936543,2.410208006040193,4726.049749995582,0.8890241595831785,0.1870249423884754,2.8867387121373955,3.5617037374021017
7,median,11,,1.2973754156036352,0.9872419238090515,100.0,8.798277594826438,2.8219996471322966,1.8766249995678663,3412.1155419998104,0.8870491602204063,0.1876099825533629,2.8812901215119795,3.5546765073322684
8,median,11,,1.3798382117811827,0.9854080080986023,100.0,8.73594821583141,2.889634352772841,1.8666669930098578,2863.352334010415,0.9043640581044283,0.18600566079338646,2.6796018318696455,3.5859828375366094
9,median,11,,1.3870079234745518,0.9855175018310547,100.0,8.819929686459629,2.8558929986664636,3.7209580041235313,3297.6226250029868,0.8966771824793383,0.18421595798994916,2.7989264726638794,3.5542145601964767
10,median,11,,1.319616819592746,0.9867868423461914,100.0,8.749607389623469,2.733543545968747,2.0678750006482005,4368.240833995515,0.9058633695949208,0.18137434447781517,2.607210777022622,3.4539758816578017
11,median,11,,1.3786048641685584,0.9858602285385132,100.0,8.870020432905717,2.967347934922468,3.076166001847014,4576.41379199049,0.8996885478496551,0.18514570655324536,2.7963875748894433,3.6592272833541326
12,median,11,,1.307497437490729,0.9873486757278442,100.0,8.86139440536499,2.7787628459541147,2.013625009567477,5387.684583009104,0.9009621094573628,0.18110003378969272,2.7204208048907192,3.495906135812962
13,median,11,,1.3266413869228122,0.9871863126754761,100.0,8.966600114648992,2.8251478834252968,2.5847920041996986,3994.147665987839,0.8927607655525207,0.1820382571918143,2.8799781799316406,3.537236227246939
14,median,11,,1.3119032103070107,0.9873152375221252,100.0,8.836939204822887,2.66597217405084,1.864791993284598,3614.6085410000524,0.9113205660473217,0.1780004964804234,2.504626978527416,3.420393703614896
15,median,11,,1.2951839459150665,0.9876953959465027,100.0,8.857466654344039,2.644753492048641,2.22754200513009,2380.198291997658,0.9095263611186635,0.1791454618744263,2.5271505334160547,3.4115634943481745
16,median,11,,1.327118449445996,0.9872106909751892,100.0,8.96513808857311,2.7607012453976805,1.8033329979516566,2477.0643330120947,0.8966522178866646,0.18008393244678772,2.7853398539803247,3.5001933932228497
17,median,11,,1.335739253424911,0.9873840808868408,100.0,9.06807331605391,2.789457227744154,1.7234999977517873,2260.2382089971798,0.8891413965008476,0.18077154683535956,2.8898840058933604,3.5622550448103776
18,median,11,,1.3768103951155464,0.9864175915718079,100.0,8.98432155088945,2.8365508510314585,1.7905840068124235,2356.061290993239,0.9035999146374789,0.17791839509515647,2.736965461210771,3.5404071936464088
19,median,11,,1.398025757596016,0.9860935211181641,100.0,9.014062708074396,2.9456154052341885,1.7505410069134086,2286.416459013708,0.9055604549971494,0.17990167339510124,2.7381941947070034,3.6474572134680368
20,median,11,,1.3358041715356692,0.987430989742279,100.0,9.100918899882924,2.8799533018552754,2.04095798835624,2452.9697079997277,0.8911800985986537,0.17980797175164145,2.9438403844833374,3.5927159472299093
