round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,6,,3.170373527348417e-06,0.9999998807907104,26.418961714371193,9.007805347442627,0.19191390979151787,2.4240969996753847,1601164.688523,0.8771795948346456,0.031027351176420265,2.855789542198181,0.4566138892328023
2,fedavg,6,,1.9785677649078067e-06,1.0,30.725896031394917,9.898194789886475,0.16773873910936857,1.58730499970261,1565198.010397,0.963908072312673,0.013715909416189465,1.682187815507253,0.4092928774978128
3,fedavg,6,,1.8139701974644804e-06,1.0,36.860062828024994,10.38305107752482,0.08489620406926363,1.5944450005918043,1551927.9724979997,0.977261499563853,0.006581353933142664,1.4097614288330078,0.2563901207571024
4,fedavg,6,,1.4596499562723667e-06,0.9999999403953552,36.321536899529264,10.70817772547404,0.05714560201926045,1.5607160003128229,1560698.7433160003,0.9872013092041015,0.0037347638744876614,1.0918305019537609,0.19065501810157698
5,fedavg,6,,2.222355648467585e-06,1.0,40.45182707334074,11.156427065531412,0.25517487687664353,1.7168600006698398,1564959.8362040005,0.9666223128636678,0.029469121523344907,1.6967533032099407,0.8543356100531705
6,fedavg,6,,1.4896037493109124e-06,0.9999999403953552,40.61574010713229,11.330637296040853,0.07316425777873971,1.6866799996932968,1546827.9195160011,0.9888291041056315,0.002586187729210579,1.0845305025577545,0.16150285359506628
7,fedavg,6,,1.3138465601234838e-06,1.0,44.90039498266978,11.505006313323975,0.050646122980140734,1.8588040002214257,1550771.3578269996,0.9913819909095765,0.0022495363490115153,0.9637845456600189,0.15794025088683616
8,fedavg,6,,1.4957957705403505e-06,0.9999998807907104,43.952563886298464,11.730588436126709,0.10246481428395138,1.6257499992207158,1564799.2872979995,0.9887160698572794,0.003476795195510219,1.1212464372316997,0.22589118847476375
9,fedavg,6,,1.383013577437151e-06,1.0,43.49169772526903,11.924617131551107,0.05666977597368462,2.2175810008775443,1554095.834885,0.99051300684611,0.0016685334972948343,1.055720180273056,0.11804422076046624
10,fedavg,6,,1.6046007435126831e-06,1.0,46.12862876403207,12.144205888112387,0.09303435704561329,1.6774409996287432,1560566.8315720013,0.9859671076138814,0.008861735315813775,1.246652493874232,0.434440896707484
11,fedavg,6,,1.3092980382401264e-06,1.0,49.37378855536919,12.3181258837382,0.057773564473477035,1.6011660009098705,1575915.0538079995,0.9921080986658732,0.0017538209937796834,0.9912150104840597,0.14095352515644669
12,fedavg,6,,1.221427116954707e-06,1.0,46.29827079706293,12.456968148549398,0.02683214394466084,1.835453000239795,1561399.2025920015,0.9939942677815755,0.0007085404733808721,0.8797927995522817,0.057154002756766804
13,fedavg,6,,2.11560135824508e-06,0.9999998807907104,47.65922639413605,12.709120591481527,0.22564481728684654,1.8977700019604526,1550211.864429999,0.9779344399770101,0.021045548303184638,1.5407909154891968,0.8424668536354957
14,fedavg,6,,1.5064345920019698e-06,1.0,50.0498104656085,12.847014586130777,0.10872227282868296,1.7895540004246868,1572079.657358001,0.9898668011029561,0.004677733355697197,1.140573779741923,0.3329701190538526
15,fedavg,6,,1.6387918892532758e-06,1.0,48.0984496691503,13.007146835327148,0.0996732234703789,1.7893519980134442,1543371.515652998,0.9884339133898418,0.006842762617815264,1.2051608860492706,0.44370292548334206
