round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,median,6,,0.9650028768529423,0.9935762882232666,100.0,9.00369373957316,0.16490612022375692,29.434458003379405,38417.1941250097,0.8724835157394409,0.02676128844280056,2.9155009984970093,0.3926150048778868
2,median,6,,0.6174275818629521,0.9979729056358337,100.0,9.867193539937338,0.11637882878960018,24.637125025037676,28145.62733299681,0.9601704080899557,0.01370869145754242,1.761073609193166,0.39989547519209867
3,median,6,,0.6806652257730129,0.9977748394012451,100.0,10.360932985941568,0.14080243421251043,27.313124999636784,27605.609582999023,0.9650640288988749,0.01855481827639714,1.6890669067700703,0.5654425927896852
4,median,6,,0.4125298260906473,0.9992406964302063,100.0,10.651415348052979,0.08364845513242963,23.053167009493336,27876.01816598908,0.9832401831944784,0.004912683099844579,1.2412653863430023,0.2345951424086164
5,median,6,,0.695677227440213,0.997941255569458,100.0,10.999620119730631,0.253085071058387,22.455166996223852,27705.805625009816,0.9673891425132751,0.029037709406634502,1.649774690469106,0.8442941281485277
6,median,6,,0.3651449660936891,0.9994552135467529,100.0,11.114737192789713,0.07481767359515963,24.213208991568536,27577.61229100288,0.9878599246342977,0.00359996461791578,1.101453145345052,0.21230373277244044
7,median,6,,0.36611172303674944,0.9994704723358154,100.0,11.30217981338501,0.07433279015268418,24.253749987110496,27706.91033298499,0.9882031003634135,0.00248892183801617,1.1140773296356201,0.14607833174292734
8,median,6,,0.32269000852486557,0.9996006488800049,100.0,11.461625099182129,0.031438943722336625,21.74116700189188,27528.5300409887,0.9903408249219259,0.0012907781971349174,1.0256609618663788,0.08190565608626636
9,median,6,,0.36475682589912345,0.9995082020759583,100.0,11.675169626871744,0.06546098555546305,24.18849998502992,27547.436084016226,0.9882819970448812,0.002414308161463654,1.1456446647644043,0.15514590432553832
10,median,6,,0.6325405756849474,0.9985889196395874,100.0,12.002342383066813,0.2560775900397242,22.514417010825127,28074.069083988434,0.9760360479354858,0.013036755156761788,1.6236197749773662,0.584535067450673
11,median,6,,0.3767329956287013,0.9995094537734985,100.0,12.084390958150228,0.07522241701146803,21.4954580005724,26963.782415987225,0.988752273718516,0.0034523085162255014,1.1515152752399445,0.22695153549392028
12,median,6,,0.25585636733649686,0.9997789859771729,100.0,12.192945957183838,0.022057199232690047,22.264832979999483,29824.29874999798,0.9941779335339864,0.0008579424308023085,0.8466641207536062,0.07060270792701688
13,median,6,,0.7190220007331842,0.9982974529266357,100.0,12.458163579305014,0.18395115253493094,21.543375012697652,27461.595541011775,0.9746232310930888,0.024254765442709138,1.6171136697133381,0.8704128306877355
14,median,6,,0.3727481845615085,0.9995575547218323,100.0,12.569674491882324,0.041384647132154055,20.78699998673983,27372.43795901304,0.9902496576309204,0.003332522698527036,1.1096878349781036,0.2360557933739004
15,median,6,,0.4772080319796375,0.9992865324020386,100.0,12.696794986724854,0.026300349705309096,21.495708992006257,30407.506500021555,0.9870864192644755,0.00708583268535366,1.259430338939031,0.38867302002950826
