round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,6,,6.103984023232829e-07,0.9999998807907104,40.05015950153108,8.900631745656332,0.052552571481486496,0.49329199828207493,11146.076750010252,0.887826677163442,0.013168317608279724,2.71739395459493,0.1485881958968437
2,fedavg,6,,6.803628559215906e-07,0.9999999403953552,44.78973506404928,9.786210536956787,0.1047850607534156,0.4292910161893815,9019.99912498286,0.9722081581751506,0.0076053249488738355,1.4705202182133992,0.26721704440356914
3,fedavg,6,,7.468926211131567e-07,0.9999999403953552,46.243365944114075,10.347668488820394,0.11101525637510427,0.5533749936148524,8989.512291998835,0.9802141388257345,0.004776759939924877,1.3196948568026226,0.20317795844003814
4,fedavg,6,,7.72428503623464e-07,1.0,47.24513502568365,10.770703633626303,0.07046272042842157,0.351458991644904,8867.698875023052,0.9826138059298197,0.004668302172647718,1.2813396751880646,0.21735653846127012
5,fedavg,6,,8.031054310842367e-07,1.0,47.83696030578823,11.035617192586264,0.05009468566756783,0.3697079955600202,8884.866709006019,0.9892762382825215,0.002191306367062408,1.0359507997830708,0.1367021370727533
6,fedavg,6,,8.347367773837112e-07,0.9999999403953552,46.92826338711625,11.378495216369629,0.17588133533013903,0.4327499773353338,8932.336500001838,0.9750163634618123,0.008564283845158763,1.6124272147814434,0.37850588652811185
7,fedavg,6,,8.286374970245147e-07,1.0,48.64334889272545,11.502960046132406,0.02248505200116582,0.3724590060301125,8947.700499993516,0.9888423403104146,0.0015300412348402653,1.1058873732884724,0.08953924409589367
8,fedavg,6,,8.355599055851968e-07,1.0,48.42736463684095,11.681991418202719,0.06506313535487376,0.34616701304912567,8899.906040984206,0.9914708892504375,0.0027469145672210453,0.9708747267723083,0.18332297530636682
9,fedavg,6,,8.826276221224884e-07,1.0,47.598240865073784,11.840589841206869,0.049683519006703085,0.37183400127105415,8917.507249978371,0.9915123184521993,0.0011192623229909105,0.9937839607397715,0.08165561148306615
10,fedavg,6,,8.655680083920338e-07,1.0,48.03447222399841,11.986045678456625,0.032873194796660656,0.4650000191759318,8901.009916997282,0.992210598786672,0.0017559602258096097,0.9566167891025543,0.13767826454646787
11,fedavg,6,,8.955778576084356e-07,1.0,48.04726076546525,12.108388264973959,0.041040893339524216,0.3581250202842057,8876.427000010153,0.9930741548538208,0.0012816938079406829,0.9154679179191589,0.10114259283769943
12,fedavg,6,,8.784627984431679e-07,1.0,47.861826914195994,12.259114106496176,0.04605491145218792,0.48387498827651143,8897.658792004222,0.9932901978492736,0.0014974604378668074,0.9100224475065867,0.12209545278477997
13,fedavg,6,,8.96625488233921e-07,1.0,48.0699959502952,12.454748630523682,0.1345627508023269,0.35754102282226086,8833.670332998736,0.9896338939666748,0.005876678172845843,1.1096729636192322,0.37007087592979393
14,fedavg,6,,8.974246268592719e-07,1.0,48.797521864853536,12.57612689336141,0.08111951806628681,0.32324998755939305,8850.522458989872,0.9914070725440979,0.003564555151309986,1.0404404898484547,0.2449192473717993
15,fedavg,6,,9.238602438590571e-07,1.0,48.33713437204709,12.687452793121338,0.01816383918040883,0.37387499469332397,8868.194125010632,0.9926309903462728,0.0016218947117235254,0.9860164721806844,0.12936103221667808
