round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,6,0,0.36653095905338967,0.999982476234436,0.026535756932466497,61.931383768717446,0.006208608057697021,0.12845901073887944,3808.5979580064304,0.9998350302378337,3.0429304396881022e-05,0.7241336305936178,0.05608863324452695
2,fedavg,6,0,0.3686732578764501,0.9999910593032837,0.03980363539869975,87.64211527506511,0.009258716549617508,0.07741700392216444,2442.104209039826,0.9999413967132569,1.9750862846573456e-05,0.60618128379186,0.08816588403008148
3,fedavg,6,0,0.3389210205745448,0.9999948143959045,0.06633939233116624,106.3618876139323,0.010214416083862707,0.09204098023474216,2504.6617499901913,0.9999637007713318,1.1624912757064916e-05,0.5796056836843491,0.07788086054213686
4,fedavg,6,0,0.34892786897411293,0.9999959468841553,0.3250630224227146,123.06640370686848,0.009857606501221607,0.08750002598389983,2504.620708001312,0.9999733130137126,9.643200576699115e-06,0.5739035705725352,0.08976091858589577
5,fedavg,6,0,0.3311501541053944,0.9999973177909851,0.013267878466233248,137.64686330159506,0.009322035442493113,0.07620896212756634,2462.087624997366,0.9999776403109233,5.6025773297281576e-06,0.5916262865066528,0.053979150296144605
6,fedavg,6,0,0.28119359789260345,0.9999983906745911,0.4710096855512803,151.01275380452475,0.011345151379753927,0.10058301268145442,2520.430208009202,0.9999846577644348,3.095067434562005e-06,0.5381171852350235,0.04978360043818506
7,fedavg,6,0,0.2773229974218295,0.9999984502792358,0.026535756932466497,162.86323038736978,0.008183651787110266,0.08720805635675788,2487.738374969922,0.999986449877421,2.7917776089340285e-06,0.5447456240653992,0.04589357022331061
8,fedavg,6,0,0.3127387623762789,0.9999983310699463,0.03316969616558312,173.3698501586914,0.006129050880489935,0.0718749943189323,2538.7930840370245,0.9999868035316467,3.66257811069772e-06,0.5708634257316589,0.06511722129105438
9,fedavg,6,0,0.3207986018541263,0.9999985098838806,0.006633939233116624,183.4927775065104,0.0041215179048309444,0.07429200923070312,2478.083041962236,0.9999871651331583,3.2347015980484984e-06,0.5972020626068115,0.06595254783184831
10,fedavg,6,0,0.3143292220476577,0.9999988675117493,0.03316969616558312,193.68857065836588,0.005632315217100821,0.0754999928176403,2467.8607499809004,0.9999905904134114,3.1017229861542227e-06,0.5352715998888016,0.07728769359827703
11,fedavg,6,0,0.3125314094523095,0.9999987483024597,0.006633939233116624,203.4715092976888,0.005784781258349909,0.08649996016174555,2500.771082995925,0.9999913930892944,2.447112469412612e-06,0.5419724881649017,0.0628341249408582
12,fedavg,6,0,0.2856453851990883,0.9999991655349731,0.006633939233116624,212.83697764078775,0.007090880476836995,0.07966696284711361,2456.181249988731,0.999993085861206,2.0401861057468915e-06,0.5078608791033427,0.060672909390037784
13,fedavg,6,0,0.2719662422343823,0.9999992251396179,0.019901817699349875,221.67892710367838,0.008457877712283964,0.07587496656924486,2483.8816249975935,0.9999936342239379,1.5564612982069946e-06,0.510260209441185,0.04239354667627537
14,fedavg,6,0,0.3042683795512952,0.9999991655349731,0.019901817699349875,229.6615422566732,0.005719762841159677,0.07116602500900626,2455.4742500185966,0.9999934236208597,1.957800631694001e-06,0.536324734489123,0.06011016165428479
15,fedavg,6,0,0.31166437794216756,0.9999991059303284,0.053071513864932994,238.10972595214844,0.004223166791016502,0.12808298924937844,2451.8672910053283,0.9999936819076538,2.0889422653298396e-06,0.5418691337108612,0.06802595839396586
16,fedavg,6,0,0.3149862168980359,0.9999991655349731,0.16584848082791562,246.29244232177734,0.004517621706977623,0.07412495324388146,2461.2747919745743,0.9999942104021708,1.8154635067272017e-06,0.5377587328354517,0.05698716165860216
17,fedavg,6,0,0.3036354650033948,0.9999992847442627,0.059705453098049616,253.49722290039062,0.007241229260713627,0.07399998139590025,2451.7513339524157,0.9999944885571798,1.5216302996816573e-06,0.5420646617809931,0.049643130592667666
18,fedavg,6,0,0.2698688828321413,0.9999994039535522,0.318429083189598,260.72462463378906,0.005778865569499543,0.08079200051724911,2480.932542006485,0.9999955892562866,1.23847685441734e-06,0.49792034924030304,0.060345664592025276
19,fedavg,6,0,0.26138006327335295,0.9999997019767761,0.03980363539869975,268.48082478841144,0.005803548692884615,0.079624995123595,2493.7178749823943,0.9999956448872884,1.4964551666183243e-06,0.502096692721049,0.07335124266061055
20,fedavg,6,0,0.265787032516454,0.999999463558197,0.006633939233116624,275.33567810058594,0.005220817960919214,0.07566699059680104,2473.481541965157,0.9999955813090007,1.434952852493238e-06,0.5218777507543564,0.08199984455906026
