round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,6,,4.752032083974225e-07,0.9999999403953552,1.7911635929414889,6.858184973398845,0.048655322585847004,0.11179200373589993,2338.6170829762705,0.915715738137563,0.012928832831335679,1.8109609087308247,0.17257237932754502
2,fedavg,6,,5.376843933095954e-07,1.0,2.2157357038609526,7.316094080607097,0.16237759924089798,0.10066700633615255,1039.4487919984385,0.9463803847630818,0.016174162180061243,1.5301280617713928,0.3071206583057719
3,fedavg,6,,5.251730134980102e-07,1.0,2.5142629693512006,7.417664686838786,0.11367228413716066,0.09379198309034109,1020.719416992506,0.9787174781163533,0.010924328289355002,0.9510403573513031,0.3040708384326577
4,fedavg,6,,5.4902994999356e-07,0.9999999403953552,2.401486002388218,7.832777261734009,0.3058110444481953,0.08629198418930173,1022.7223330002744,0.9560455838839214,0.02167509725310072,1.4738715291023254,0.4691710927073589
5,fedavg,6,,6.028042132700711e-07,1.0,4.564150192384238,7.884003400802612,0.14639926836923403,0.09066599886864424,1042.0648339786567,0.9710723837216695,0.013670636801774692,1.1698960562547047,0.40647283737450207
6,fedavg,6,,5.721922613207763e-07,1.0,4.683561098580337,8.009053389231363,0.1890750354464843,0.08987498586066067,1063.5947920090985,0.9808103799819946,0.010100283905997067,0.9650462766488394,0.3791918137900761
7,fedavg,6,,5.450503773701829e-07,1.0,6.541064083852992,8.11857239405314,0.21835776055355896,0.0924580090213567,1007.7365410106722,0.9805899381637573,0.016359671975013326,0.9207503199577332,0.543939907845878
8,fedavg,6,,6.188800579659065e-07,1.0,5.605678651983547,8.311241944630941,0.18978507092467028,0.09912499808706343,1006.8294170196168,0.9770134925842285,0.008925606621020049,1.1305117309093475,0.3079217847776916
9,fedavg,6,,6.138767742463944e-07,1.0,6.322144089160144,8.405889670054117,0.1712424699238429,0.08724999497644603,980.6969580240548,0.9803032676378886,0.01282111819552331,0.9970170358816782,0.462934887455858
10,fedavg,6,,6.481976116047772e-07,0.9999998807907104,5.85776834284198,8.529691378275553,0.1839245214226431,0.08829199941828847,993.2912500225939,0.9838594675064087,0.009785031110954415,0.9345860481262207,0.39341850867627315
11,fedavg,6,,6.301526798509129e-07,1.0,5.725089558179647,8.5673615137736,0.11141535347261311,0.09308400331065059,1007.6560830057133,0.993242343266805,0.004895801367960097,0.5995551546414694,0.26672626503189717
12,fedavg,6,,6.728800087979634e-07,0.9999998807907104,7.01870770863739,8.701650619506836,0.2125544988589743,0.09099999442696571,1039.6527500124648,0.9847038706143697,0.014975494031948958,0.8734740416208903,0.5252874039552149
13,fedavg,6,,6.639032511960795e-07,1.0,7.071779222502323,8.872391700744629,0.19938078849718147,0.09254200267605484,1059.8566669796128,0.9803178946177165,0.008875749232124244,1.1091153522332509,0.3414649063919317
14,fedavg,6,,6.112400538018844e-07,1.0,7.469815576489319,8.892229398091635,0.076322405691695,0.09058299474418163,1042.2772500023711,0.9912191987037658,0.004643899421763249,0.7296251455942789,0.2347195179756232
15,fedavg,6,,6.171370932517341e-07,1.0,7.164654371765955,8.94399118423462,0.1025586699795178,0.08508301107212901,1056.2224999885075,0.9923446416854859,0.0053028685509024795,0.6623389174540838,0.295205538612143
16,fedavg,6,,6.205296482046787e-07,1.0,6.793153774711423,9.071887969970703,0.1715103529163288,0.1177079975605011,1026.0611249832436,0.9859106421470643,0.010275980662370236,0.9023665934801102,0.44505461680472824
17,fedavg,6,,6.378083534688483e-07,1.0,8.551147671487328,9.062900225321451,0.054112948976230583,0.09529100498184562,977.516042010393,0.9968539714813233,0.002771475750253709,0.40800991902748746,0.230495246993417
18,fedavg,6,,6.740770233846024e-07,1.0,9.00225553933926,9.072115580240885,0.020808434740367445,0.08929197792895138,1025.526292010909,0.9983613928159077,0.0011557346496271228,0.30407099177440006,0.14343562026851706
19,fedavg,6,,5.781575859854388e-07,1.0,8.338861616027597,9.136264006296793,0.11169433840123552,0.08441600948572159,966.9534580025356,0.9946221987406413,0.005474922588196592,0.5293856561183929,0.3348390440279258
20,fedavg,6,,6.857562147145173e-07,0.9999998807907104,8.345495555260714,9.187178611755371,0.06862448572707076,0.09700001101009548,1052.7817499823868,0.9926489392916361,0.004436816972556468,0.6680317769447962,0.2800207163482885
