round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,krum,11,0,1.8408298992418337,0.9622645378112793,15.105479633806555,6.823998928070068,0.16424307705193625,1.5906250337138772,67824.58816695726,0.8715551235459068,0.04835806780585199,2.3132308288054033,0.3489059299618318
2,krum,11,0,0.8058170482032804,0.9935757517814636,10.030516120472337,7.203824650157582,0.12305689342797754,0.6391670322045684,1361.9677089736797,0.9671952312642877,0.012020322929754731,1.2130044373598965,0.31688439756166237
3,krum,11,0,0.7469429968044875,0.9949002861976624,9.526336738755473,7.461787874048406,0.1627843324338004,0.5089580081403255,1108.8105420349166,0.9696977333589034,0.01392526207149192,1.1999582865021445,0.3723931879019384
4,krum,11,0,0.5064227844866682,0.997694194316864,11.63592941488656,7.429956609552557,0.12755591841425862,0.42091700015589595,1461.8886249954812,0.9826017271388661,0.008886029209357068,0.8907374956391074,0.3231886114100854
5,krum,11,0,0.5124515733613936,0.9977006316184998,29.136261111848217,7.505864100022749,0.1839111640662608,0.5099159898236394,1250.7194579811767,0.979485996202989,0.009932915025378934,0.9830127304250543,0.3624531864696486
6,krum,11,0,0.5544293861197419,0.997279942035675,20.823935252753085,7.526379498568448,0.14226658321013125,0.4361249739304185,1201.5587910427712,0.981031392921101,0.007426777023785391,0.962676617232236,0.28021915581641904
7,krum,11,0,0.536815147656927,0.9974350929260254,5.91747379594003,7.5621490045027295,0.17112384703475605,0.4534170147962868,1480.9147500200197,0.9742772600867532,0.0160732948794665,1.0658880038694902,0.5041918313610537
8,krum,11,0,0.4715247290274358,0.9980579614639282,11.111848215470346,7.579608700492165,0.16018933396125778,0.5026670405641198,1390.8415000187233,0.9768253434788097,0.015812917800063643,1.0033715909177607,0.5005756554108721
9,krum,11,0,0.4425944310869979,0.99835205078125,10.050417938171687,7.5916687791997735,0.1280866992375092,0.4367910441942513,1178.997499984689,0.9842896353114735,0.007914143693500724,0.8594955395568501,0.3306780487841701
10,krum,11,0,0.6427747053806443,0.9964272975921631,6.832957410110123,7.656451311978427,0.1785616710315721,0.450249994173646,1400.9582079597749,0.9725709026510065,0.01805103928743791,1.137433566830375,0.4751501422973096
11,krum,11,0,0.6252538981620297,0.9967101812362671,7.37030648799257,7.729392962022261,0.23770953415501528,0.37154200254008174,1441.9448749977164,0.9653590018099004,0.021811260371960708,1.2826851443810896,0.5806450124637853
12,krum,11,0,0.47039884488847217,0.9981118440628052,29.64044049356508,7.633193276145241,0.12635708444764196,0.4939160426147282,1885.1116669829935,0.9838504390283065,0.010692439332480728,0.8540758517655459,0.39105701307925583
13,krum,11,0,0.7579317973282854,0.9950874447822571,6.487992569988059,7.750278863039884,0.17785273002576066,0.7008329848758876,2364.867124997545,0.964776197346774,0.01780062935999342,1.3283130797472866,0.46199586526567316
14,krum,11,0,0.5629350094821887,0.9973399639129639,22.177258856308875,7.707162900404497,0.15896047944997235,0.9431660291738808,2845.8877920056693,0.976774496381933,0.013975759240229887,1.0454145724123174,0.4516586286284112
15,krum,11,0,0.48567570907213087,0.9980169534683228,6.79978771394454,7.687998945062811,0.1380333772074665,0.4736249684356153,1854.751041973941,0.9820350419391285,0.010193658871402216,0.9234311309727755,0.3783430958148728
16,krum,11,0,0.4912116824982456,0.9979827404022217,21.726150988456947,7.70437799800526,0.13966125066614238,0.444458972197026,1482.2017080150545,0.9804164615544406,0.014858030069517294,0.9415801384232261,0.4546829287346496
17,krum,11,0,0.5329676288657759,0.9975866079330444,6.79978771394454,7.708439480174672,0.14365669368283634,0.5027080187574029,1501.2737090000883,0.9788165081631054,0.013767252342423292,1.0045567534186624,0.4140504559642414
18,krum,11,0,0.4917349682808177,0.9979410767555237,11.775242138782009,7.696246147155762,0.13456620733046612,0.4665409796871245,1529.4546670047566,0.9815155560320074,0.010571736927254173,0.9371782297437842,0.3807912266538176
19,krum,11,0,0.6601317905031476,0.996405839920044,10.468356109858034,7.81359711560336,0.2245050129529495,0.5910829640924931,1507.820582948625,0.9695331020788713,0.0178238470623058,1.2193865017457441,0.5359809913203363
20,krum,11,0,0.39047012839696715,0.9986864328384399,30.575825925434525,7.6653920953924,0.12142200674770677,0.43587503023445606,1551.2961249914952,0.9853855989196084,0.010654089039498715,0.7894090983000669,0.42733578094087177
