round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,median,11,,0.7511077169200375,0.9939773082733154,100.0,7.421002127907493,0.5946517540042109,1.8926459999875078,4174.873768999987,0.8237089623104442,0.055050234908824346,2.989653002132069,0.670245706475532
2,median,11,,0.6155214077228899,0.9971323609352112,100.0,8.417920416051691,0.45821932765805107,1.5269470000021101,746.8144839999695,0.907604187185114,0.028503317527932705,2.4541667808185923,0.48046543484969145
3,median,11,,0.4808417199568416,0.9985716938972473,100.0,9.20899399844083,0.38069472801384396,1.5709289998540044,802.9657290001069,0.9458607283505527,0.014831562946290493,2.057680530981584,0.3563344961956064
4,median,11,,0.4531490282560911,0.9989070296287537,100.0,9.875572898171164,0.2723109694730428,1.5471839999463555,926.9287659999463,0.9601486000147733,0.009654940395453277,1.885119698264382,0.2735115132832309
5,median,11,,0.40432602594734746,0.9992209672927856,100.0,10.3932861848311,0.2614701067748688,1.5921479998723953,798.5215080000216,0.9688756108283997,0.006176400390524369,1.7588696913285689,0.20215711444508802
6,median,11,,0.39825918808606303,0.999313473701477,100.0,10.865947723388672,0.17427592009180368,1.565137999932631,670.511438999938,0.9735421159050681,0.006227284186453693,1.6791303916410967,0.241646746313509
7,median,11,,0.3885444646513915,0.9993934631347656,100.0,11.257726495916193,0.208420176162607,1.5785389998654864,841.923874000031,0.9766321583227677,0.005468532319245073,1.639255783774636,0.2424286150138377
8,median,11,,0.40585335136956063,0.9993739724159241,100.0,11.602340698242188,0.16339707946782178,1.5786369999659655,849.4344519999686,0.975380394675515,0.005219068765185074,1.731670000336387,0.21882994842848097
9,median,11,,0.3836012819501464,0.9994769096374512,100.0,11.965689745816318,0.16359447467593313,1.5170169999692007,873.2183509998777,0.9794192823496732,0.004030006806406467,1.6341386166485874,0.19945976961795867
10,median,11,,0.3802010250642835,0.9995079040527344,100.0,12.234713380986994,0.12234322906083459,1.5848640000513115,680.9794409998631,0.9793643647974187,0.0050788805585312785,1.6639179966666482,0.2402638886162756
11,median,11,,0.39108397144662477,0.9995039105415344,100.0,12.53100247816606,0.13249547772302434,1.5640490000805585,828.5102980000829,0.9801550897684964,0.005224966257666429,1.6687322421507402,0.2688033734503923
12,median,11,,0.3664269949221449,0.9995812773704529,100.0,12.769758571277965,0.12104308569114951,1.570119000007253,962.7433360001305,0.9816899180412293,0.004381440288337651,1.6339683099226519,0.25263628978994573
13,median,11,,0.3622169443808057,0.9996078014373779,100.0,13.04224733872847,0.1276854429529979,1.509937999799149,766.5443549999509,0.9820943908257918,0.004292157086840893,1.6500312848524614,0.2573803822843089
14,median,11,,0.4007776917553845,0.9995385408401489,100.0,13.309287678111684,0.10597532696066606,1.5527169998676982,833.5655470000347,0.9812250159003518,0.005020468230802515,1.7206135988235474,0.2820361415456639
15,median,11,,0.36517028378536115,0.9996312856674194,100.0,13.5428842197765,0.1027666278957674,1.5508999999838124,711.8363260001388,0.984309726411646,0.0033803890485573002,1.6073052341287786,0.21659161811016217
16,median,11,,0.36935821669122515,0.9996340870857239,100.0,13.756098660555752,0.09919135937091725,1.5715960000761697,733.5601929999029,0.9837447925047441,0.004631659307223535,1.6487067070874302,0.30367512454471723
17,median,11,,0.3764605984219604,0.999633252620697,100.0,13.996660405939275,0.09958500054844614,1.5900240000519261,782.3232690000168,0.984451926838268,0.003566312791527028,1.6501235094937412,0.24642348538953449
18,median,11,,0.3565900428764877,0.9996822476387024,100.0,14.220612265846945,0.1001120520130838,1.5713049999703799,832.0623889999297,0.9859409895810214,0.003649885368148253,1.5905187780206853,0.26388632180848615
19,median,11,,0.414546103312077,0.9995836615562439,100.0,14.452973972667348,0.07029786923724968,1.6158890000497195,773.5736380000162,0.9846293102611196,0.004109920284015833,1.6872888153249568,0.28216147122069796
20,median,11,,0.38483180792116095,0.9996524453163147,100.0,14.690763646906072,0.10884086980161473,1.5541370000846655,630.9174089999487,0.9855724204670299,0.004019725673766894,1.66030875119296,0.30051087886095107
