round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms,pairwise_cosine_mean,pairwise_cosine_std,l2_dispersion_mean,l2_dispersion_std
1,fedavg,2,,0.0,1.0,100.0,6.2339768409729,0.0,0.10663000000477041,1382.055001000026,1.0,0.0,0.0,0.0
2,fedavg,10,,7.748397869984686e-07,1.0,0.0,6.672873020172119,0.008097648620605469,0.20706099996914418,2272.7234170000656,0.997212028503418,0.003753421496671918,0.26723828315734866,0.20042871236801146
3,fedavg,10,,7.901371272952861e-07,1.0,0.0,6.870487976074219,0.01908245086669922,0.16319899998507026,207.14747599993188,0.9980820549858941,0.0025821124979955494,0.22839092016220092,0.1712932050228119
4,fedavg,10,,7.753181315424769e-07,1.0,0.05730659025787965,7.021145057678223,0.013084030151367188,0.21201100003054307,206.33271100007278,0.9974391301472981,0.0034476765516053953,0.26948376893997195,0.20211281180381774
5,fedavg,10,,7.368487402324458e-07,1.0,0.028653295128939826,7.143059635162354,0.0024469375610351564,0.18617199998516298,202.44760700006736,0.9976969401041667,0.0031005892749411314,0.2602355480194092,0.19517666101455688
6,fedavg,10,,6.623872723594601e-07,1.0,0.028653295128939826,7.264927005767822,0.008711624145507812,0.16706500002783287,205.53899599997294,0.9980149295594957,0.0026726433593893604,0.24554303884506226,0.1841572642326355
7,fedavg,10,,7.695777648550032e-07,0.9999999403953552,0.1146131805157593,7.411716938018799,0.008828163146972656,0.22571600004539505,198.71455500003776,0.9977251052856445,0.0030626707389208425,0.2686280608177185,0.20147103071212769
8,fedavg,10,,7.646178898127755e-07,1.0,0.08595988538681948,7.527194309234619,0.0035060882568359376,0.27242099997693003,203.45417900000484,0.9979535659154256,0.002755101737300288,0.25835744142532346,0.1937680959701538
9,fedavg,10,,7.43654259999231e-07,1.0,0.05730659025787965,7.593174839019776,0.00825042724609375,0.1640070000803462,209.1572270001052,0.998565305603875,0.0019316769331689798,0.21821097135543824,0.1636582136154175
10,fedavg,10,,6.60053285215013e-07,1.0,0.028653295128939826,7.674175834655761,0.0014249801635742186,0.16853599993282842,197.98054200009574,0.9986284891764323,0.0018464529549202205,0.21573067903518678,0.16179799437522888
11,fedavg,10,,7.17397743710788e-07,1.0,0.05730659025787965,7.7543011665344235,0.021808433532714843,0.1666520000753735,204.06500699994012,0.9992193248536851,0.0010510216152321912,0.1650114893913269,0.12375860214233399
12,fedavg,10,,8.126667117600254e-07,1.0,0.028653295128939826,7.858512306213379,0.017220687866210938,0.17278400002851413,198.06068500008678,0.9986640983157687,0.0017984352058169437,0.21806484460830688,0.16354864835739136
13,fedavg,10,,8.185610240871486e-07,1.0,0.08595988538681948,7.94521017074585,0.014081573486328125,0.18362399998750334,202.0959369999673,0.998633427090115,0.0018398050851740001,0.2228977084159851,0.16717329621315002
14,fedavg,10,,7.033869428157842e-07,1.0,0.028653295128939826,8.003234672546387,0.0013164520263671876,0.20465399995828193,202.00856300004943,0.9988864713244968,0.001499139393017762,0.20266859531402587,0.1520014762878418
15,fedavg,10,,8.368396519628366e-07,1.0,0.08595988538681948,8.08506088256836,0.0133270263671875,0.16423800002485223,203.60461500001747,0.9986091958151924,0.0018722780156230992,0.2287953019142151,0.17159646153450012
16,fedavg,10,,7.635680337415599e-07,0.9999998807907104,0.08595988538681948,8.126379203796386,0.013888931274414061,0.1713409999410942,200.65242700002273,0.9993262529373169,0.0009069103212772103,0.16025932431221007,0.12019447088241579
17,fedavg,10,,7.820974014949584e-07,1.0,0.08595988538681948,8.175565910339355,0.020830535888671873,0.16805500001737528,195.15418900004988,0.9988901323742336,0.0014941994856633885,0.2077751040458679,0.15583131313323975
18,fedavg,10,,7.358721245630342e-07,1.0,0.0,8.25842514038086,0.005564880371093751,0.21207700001468766,207.16000799995982,0.9991182645161947,0.0011869177680106423,0.18605969548225404,0.13954474925994872
19,fedavg,10,,7.356414810343264e-07,0.9999998807907104,0.028653295128939826,8.30542449951172,0.0006214141845703125,0.19023699996978394,192.34570499997972,0.9990416924158733,0.0012903104916980551,0.19514760375022888,0.14636069536209106
20,fedavg,10,,8.520257551560122e-07,0.9999998807907104,0.028653295128939826,8.336670112609863,0.009503936767578125,0.16889599999103666,197.04799599992384,0.9992869403627184,0.0009598364945415889,0.1689723551273346,0.12672928869724273
